name,alt_name,name:nan,name:nan-HJ,name:nan-TL
柳營,,Liú-iâⁿ,柳營,Liú-iânn
松山,松山火車站,Siông-san,松山,Siông-san
古莊號誌,古莊號誌站,Kó͘-chng Hō-chì,古莊號誌,Kóo-tsng Hō-tsì
石龜,石龜車站,Chio̍h-ku-khe,石龜溪,Tsio̍h-ku-khe
竹田,,Tek-chhân,竹田,Tik-tshân
談文,談文車站,Tām-bûn-ô͘,淡文湖,Tām-bûn-ôo
水里,水里車站,Chúi-lí,水里,Tsuí-lí
車埕,,Chhia-tiâⁿ,車埕,Tshia-tiânn
集集,,Chi̍p-chi̍p,集集,Tsi̍p-tsi̍p
龍泉,,Liông-chôaⁿ,龍泉,Liông-tsuânn
池上,,Tî-siōng,池上,Tî-siōng
北湖,,Pak-ô͘,北湖,Pak-ôo
中洲,,Tiong-chiu,中洲,Tiong-tsiu
九讚頭,,Káu-chàn-thâu,校欑頭、九欑頭,Káu-tsàn-thâu
富岡,,Hù-kong,富岡,Hù-kong
南樹林,,Lâm-chhiū-nâ,南樹林,Lâm-tshiū-nâ
貢寮,,Khōng-á-liâu,槓仔寮,Khōng-á-liâu
仁德,,Jîn-tek,仁德,Jîn-tik
民雄,Min Hsiung Train Station,Bîn-hiông,民雄,Bîn-hiông
大溪,,Tōa-khe,大溪,Tuā-khe
源泉,,Goân-chôaⁿ,源泉,Guân-tsuânn
員林,,Oân-lîm,員林,Uân-lîm
南靖,,Lâm-chēng,南靖,Lâm-tsīng
嘉義,,Ka-gī,嘉義,Ka-gī
嘉北,,Ka-pak,嘉北,Ka-pak
太原,,Thài-goân,太原,Thài-guân
造橋,造橋車站,Chō-kiô,造橋,Tsō-kiô
新竹,,Sin-tek,新竹,Sin-tik
大甲,,Tāi-kah,大甲,Tāi-kah
臺中港,,Tâi-tiong-káng,臺中港,Tâi-tiong-káng
清水,,Chheng-chúi,清水,Tshing-tsuí
追分,,Tui-hun,追分,Tui-hun
新烏日,,Sin-o͘-ji̍t,新烏日,Sin-oo-ji̍t
龍井,,Liông-chéⁿ,龍井,Liông-tsénn
沙鹿,,Soa-lak,沙轆,Sua-lak
海端,,Hái-toan,海端,Hái-tuan
關山,,Koan-san,關山,Kuan-san
瑞源,,Sūi-goân,瑞源,Suī-guân
六家,,La̍k-ka,六家,La̍k-ka
正義,台鐵正義車站,Chèng-gī,正義,Tsìng-gī
科工館,台鐵科工館車站,Kho-kang-koán,科工館,Kho-kang-kuán
民族,台鐵民族車站,Bîn-cho̍k,民族,Bîn-tso̍k
冬山,,Tang-soaⁿ,冬山,Tang-suann
泰安,,Thài-an,泰安,Thài-an
苑裡,,Oán-lí,苑裡,Uán-lí
彰化,高鐵彰化站,Chiong-hòa,彰化,Tsiong-huà
臺北,,Tâi-pak,臺北,Tâi-pak
康樂,,Khong-lo̍k,康樂,Khong-lo̍k
台中,台中站,Tâi-tiong,台中,Tâi-tiong
烏日,烏日站,O͘-ji̍t,烏日,Oo-ji̍t
雲林,,Hûn-lîm,雲林,Hûn-lîm
苗栗,,Biâu-le̍k,苗栗,Biâu-li̍k
東竹,,Tang-tek,東竹,Tang-tik
東里,,Tong-lí,東里,Tong-lí
台北,高鐵台北站,Tâi-pak,台北,Tâi-pak
左營,左營站;高鐵左營站,Chó-iâⁿ,左營,Tsó-iânn
新竹,高鐵新竹站,Sin-tek,新竹,Sin-tik
台南,高鐵台南站,Tâi-lâm,台南,Tâi-lâm
嘉義,高鐵嘉義站,Ka-gī,嘉義,Ka-gī
板橋,高鐵板橋站,Pang-kiô,枋橋,Pang-kiô
和平,和平站,Hô-pêng,和平,Hô-pîng
新城 (太魯閣),新城站(太魯閣),Sin-siâⁿ (Thāi-ló͘-ko͘h),新城 (太魯閣),Sin-siânn (Thāi-lóo-kooh)
永樂,,Éng-lo̍k,永樂,Íng-lo̍k
漢本,漢本站,Hàn-pún,漢本,Hàn-pún
北埔,北埔站,Pak-po͘,北埔,Pak-poo
南澳,,Lâm-ò,南澳,Lâm-ò
和仁,,Hô-jîn,和仁,Hô-jîn
崇德,崇德站,Chông-tek,崇德,Tsông-tik
景美,景美站,Kéng-bí,景美,Kíng-bí
東澳,,Tang-ò,東澳,Tang-ò
蘇澳新,,So͘-ò-sin-chām,蘇澳新,Soo-ò-sin-tsām
菁桐,,Chheng-tông,菁桐,Tshing-tông
八堵,,Peh-tó͘,八堵,Peh-tóo
百福,,Pah-hok,百福,Pah-hok
蘇澳,,So͘-ò,蘇澳,Soo-ò
礁溪,,Ta-khe,焦溪,Ta-khe
頭城,,Thâu-siâⁿ,頭城,Thâu-siânn
鹿滿(鹿麻產),,Lo̍k-Môa-sán,鹿麻產,Lo̍k-muâ-sán
南港,高鐵南港站,Lâm-káng,南港,Lâm-káng
南港,,Lâm-káng,南港,Lâm-káng
香山,,Hiong-san,香山,Hiong-san
日南,,Ji̍t-lâm,日南,Ji̍t-lâm
栗林,栗林車站;栗林火車站,Ka-la̍t-nâ,校栗林,Ka-la̍t-nâ
松竹,,Siông-tek,松竹,Siông-tik
頭家厝,頭家厝火車站'頭家厝車站,Thâu-ke-chhù,頭家厝,Thâu-ke-tshù
精武,,Cheng-bú,精武,Tsing-bú
五權,五權車站,Ngó͘-khoân,五權,Ngóo-khuân
埔心,,Po͘-sim,埔心,Poo-sim
林榮新光,,Lîm-êng Sin-kong,林榮新光,Lîm-îng Sin-kong
潭子,潭子站,Thâm-chú,潭子,Thâm-tsú
臺中,,Tâi-tiong,臺中,Tâi-tiong
豐原,,Hong-goân,豐原,Hong-guân
三姓橋,,Sam-sèng-kiô,三姓橋,Sam-sìng-kiô
新市,,Sin-chhī,新市,Sin-tshī
永康,,Éng-khong,永康,Íng-khong
大橋,,Tōa-kiô,大橋,Tuā-kiô
南科,,Lâm-kho,南科,Lâm-kho
善化,,Siān-hòa,善化,Siān-huà
拔林,,Pa̍t-á-nâ,菝仔林,Pa̍t-á-nâ
新營,,Sin-iâⁿ,新營,Sin-iânn
隆田,,Liông-tiân,隆田,Liông-tiân
林鳳營,,Lîm-hōng-iâⁿ,林鳳營,Lîm-hōng-iânn
後壁,,Āu-piah,後壁,Āu-piah
板橋,,Pang-kiô,枋橋,Pang-kiô
樹林,樹林火車站,Chhiū-nâ-á,樹林仔,Tshiū-nâ-á
山佳,山佳火車站,Soaⁿ-á-kha,山仔跤,Suann-á-kha
鶯歌,,Eng-ko,鶯歌,Ing-ko
鳳林,,Hōng-lîm,鳳林,Hōng-lîm
潮州,,Tiô-chiu,潮州,Tiô-tsiu
東海,東海車站,Tang-hái,東海,Tang-hái
鼓山,台鐵鼓山車站,Kó͘-san,鼓山,Kóo-san
成功,,Sêng-kong,成功,Sîng-kong
三塊厝,台鐵三塊厝車站,Saⁿ-tè-chhù,三塊厝,Sann-tè-tshù
美術館,台鐵美術館車站,Bí-su̍t-koán,美術館,Bí-su̍t-kuán
內惟,台鐵內惟車站,Lāi-ûi,內圍,Lāi-uî
宜蘭,,Gî-lân,宜蘭,Gî-lân
花蓮,花蓮站,Hoa-liân,花蓮,Hua-liân
臺東,,Tâi-tang,臺東,Tâi-tang
知本,,Ti-pún,知本,Ti-pún
路竹,,Lō͘-tek,路竹,Lōo-tik
左營(舊城),台鐵左營(舊城)車站,Chó-iâⁿ (Kū-siâⁿ),左營(舊城),Tsó-iânn (Kū-siânn)
高雄,高雄車站,Ko-hiông,高雄,Ko-hiông
鳳山,鳳山車站,Hōng-soaⁿ,鳳山,Hōng-suann
桃園,高鐵桃園站,Thô-hn̂g,桃園,Thô-hn̂g
竹中,,Tek-tiong,竹中,Tik-tiong
豐富,,Hong-hù,豐富,Hong-hù
平溪,,Pêng-khe,平溪,Pîng-khe
北門,北門車站,Pak-mn̂g,北門,Pak-mn̂g
