name,name:nan,name:nan-HJ,name:nan-TL
重慶南路二段86巷2弄,Tiông-khèng Lâm-lō͘ 2-tōaⁿ 86-hāng 2-lōng,重慶南路二段86巷2弄,Tiông-khìng Lâm-lōo 2-tuānn 86-hāng 2-lōng
重慶南路二段8巷,Tiông-khèng Lâm-lō͘ 2-tōaⁿ 8-hāng,重慶南路二段8巷,Tiông-khìng Lâm-lōo 2-tuānn 8-hāng
重慶南路二段8巷10弄,Tiông-khèng Lâm-lō͘ 2-tōaⁿ 8-hāng 10-lōng,重慶南路二段8巷10弄,Tiông-khìng Lâm-lōo 2-tuānn 8-hāng 10-lōng
重慶南路二段8巷16弄,Tiông-khèng Lâm-lō͘ 2-tōaⁿ 8-hāng 16-lōng,重慶南路二段8巷16弄,Tiông-khìng Lâm-lōo 2-tuānn 8-hāng 16-lōng
重慶南路三段,Tiông-khèng Lâm-lō͘ 3-tōaⁿ,重慶南路三段,Tiông-khìng Lâm-lōo 3-tuānn
風溪橋,Hong-khe-kiô,,
峨眉街,Gô-bî-koe,峨眉街,Gô-bî-kue
峯頂橋,Hong-téng-kiô,,
師大路,Su-tāi-lō͘,師大路,Su-tāi-lōo
師大路102巷,Su-tāi-lō͘ 102-hāng,師大路102巷,Su-tāi-lōo 102-hāng
師大路102巷16弄,Su-tāi-lō͘ 102-hāng 16-lōng,師大路102巷16弄,Su-tāi-lōo 102-hāng 16-lōng
師大路105巷,Su-tāi-lō͘ 105-hāng,師大路105巷,Su-tāi-lōo 105-hāng
師大路114巷,Su-tāi-lō͘ 114-hāng,師大路114巷,Su-tāi-lōo 114-hāng
師大路117巷,Su-tāi-lō͘ 117-hāng,師大路117巷,Su-tāi-lōo 117-hāng
師大路126巷,Su-tāi-lō͘ 126-hāng,師大路126巷,Su-tāi-lōo 126-hāng
師大路126巷2弄,Su-tāi-lō͘ 126-hāng 2-lōng,師大路126巷2弄,Su-tāi-lōo 126-hāng 2-lōng
師大路130巷,Su-tāi-lō͘ 130-hāng,師大路130巷,Su-tāi-lōo 130-hāng
師大路135巷,Su-tāi-lō͘ 135-hāng,師大路135巷,Su-tāi-lōo 135-hāng
師大路186巷,Su-tāi-lō͘ 186-hāng,師大路186巷,Su-tāi-lōo 186-hāng
師大路186巷,Su-tāi-lō͘ 186-hāng,師大路186巷,Su-tāi-lōo 186-hāng
師大路39巷,Su-tāi-lō͘ 39-hāng,師大路39巷,Su-tāi-lōo 39-hāng
師大路49巷,Su-tāi-lō͘ 49-hāng,師大路49巷,Su-tāi-lōo 49-hāng
師大路59巷,Su-tāi-lō͘ 59-hāng,師大路59巷,Su-tāi-lōo 59-hāng
師大路68巷,Su-tāi-lō͘ 68-hāng,師大路68巷,Su-tāi-lōo 68-hāng
師大路80巷,Su-tāi-lō͘ 80-hāng,師大路80巷,Su-tāi-lōo 80-hāng
師大路83巷,Su-tāi-lō͘ 83-hāng,師大路83巷,Su-tāi-lōo 83-hāng
師大路86巷,Su-tāi-lō͘ 86-hāng,師大路86巷,Su-tāi-lōo 86-hāng
師大路92巷,Su-tāi-lō͘ 92-hāng,師大路92巷,Su-tāi-lōo 92-hāng
師大路93巷,Su-tāi-lō͘ 93-hāng,師大路93巷,Su-tāi-lōo 93-hāng
徐州路,Chhî-chiu-lō͘,徐州路,Tshî-tsiu-lōo
