name,name:nan,name:nan-HJ,name:nan-TL
景豐街37巷,Kéng-hong-koe 37-hāng,景豐街37巷,Kíng-hong-kue 37-hāng
景豐街37巷7弄,Kéng-hong-koe 37-hāng 7-lōng,景豐街37巷7弄,Kíng-hong-kue 37-hāng 7-lōng
景豐街37巷8弄,Kéng-hong-koe 37-hāng 8-lōng,景豐街37巷8弄,Kíng-hong-kue 37-hāng 8-lōng
景豐街41巷,Kéng-hong-koe 41-hāng,景豐街41巷,Kíng-hong-kue 41-hāng
景豐街48巷,Kéng-hong-koe 48-hāng,景豐街48巷,Kíng-hong-kue 48-hāng
景豐街48巷11弄,Kéng-hong-koe 48-hāng 11-lōng,景豐街48巷11弄,Kíng-hong-kue 48-hāng 11-lōng
景豐街62巷,Kéng-hong-koe 62-hāng,景豐街62巷,Kíng-hong-kue 62-hāng
朝籟橋,Tiâu-lāi-kiô,,
港墘路,Káng-kîⁿ-lō͘,,Káng-kînn-lōo
湖口街,Ô͘-kháu-koe,湖口街,Ôo-kháu-kue
湖山路一段,Ô͘-soaⁿ-lō͘ 1-tōaⁿ,湖山路一段,Ôo-suann-lōo 1-tuānn
湖田橋,Ô͘-chhân-kiô,,
菁礐橋,Chhiⁿ-ha̍k-kiô,,
華中橋,Hôa-tiong-kiô,,Huâ-tiong-kiô
華江橋,Huâ-kang-tuā-kiô,,
華翠大橋,Huâ-tshuì-kiô,,
菸廠路,Ian-chhióng-lō͘,煙廠路,Ian-tshióng-lōo
象山隧道,Chhiūⁿ-soaⁿ Pōng-khang,,Tshiūnn-suànn Pōng-khang
貴陽街一段,Kùi-iông-lō͘ 1-tōaⁿ,貴陽街一段,Kuì-iông-lōo 1-tuānn
貴陽街二段,Kùi-iông-koe 2-tōaⁿ,貴陽街二段,Kuì-iông-kue 2-tuānn
逸仙路,I̍t-sian-lō͘,逸仙路,I̍t-sian-lōo
開封街一段78巷,Khai-hong-ke 1-tōaⁿ 78-hāng,開封街一段78巷,Khai-hong-ke 1-tuānn 78-hāng
開封街一段,Khai-hong-ke 1-tōaⁿ,開封街一段,Khai-hong-ke 1-tuānn
開封街一段106巷,Khai-hong-ke 1-tōaⁿ 106-hāng,開封街一段106巷,Khai-hong-ke 1-tuānn 106-hāng
開封街一段14巷,Khai-hong-ke 1-tōaⁿ 14-hāng,開封街一段14巷,Khai-hong-ke 1-tuānn 14-hāng
開封街一段94巷,Khai-hong-ke 1-tōaⁿ 94-hāng,開封街一段94巷,Khai-hong-ke 1-tuānn 94-hāng
開封街一段95巷,Khai-hong-ke 1-tōaⁿ 95-hāng,開封街一段95巷,Khai-hong-ke 1-tuānn 95-hāng
開封街二段,Khai-hong-ke 2-tōaⁿ,開封街二段,Khai-hong-ke 2-tuānn
陽明路一段,Iông-bêng-lō͘ 1-tōaⁿ,陽明路一段,Iông-bîng-lōo 1-tuānn
陽金公路,Iông-kim Kong-lō͘,陽金公路,Iông-kim Kong-lōo
雲和街,Ûn-hô-koe,雲和街,Ûn-hô-kue
雲和街72巷,Ûn-hô-koe 72-hāng,雲和街72巷,Ûn-hô-kue 72-hāng
雲和街75巷,Ûn-hô-koe 75-hāng,雲和街75巷,Ûn-hô-kue 75-hāng
雲和街99巷,Ûn-hô-koe 99-hāng,雲和街99巷,Ûn-hô-kue 99-hāng
圓山大橋,Înn-suann-tuā-kiô,,
塔城街,Thah-siâⁿ-koe,塔城街,Thah-siânn-kue
廈門街,Ē-mn̂g-koe,廈門街,Ē-mn̂g-kue
廈門街104巷,Ē-mn̂g-koe 104-hāng,廈門街104巷,Ē-mn̂g-kue 104-hāng
廈門街113巷,Ē-mn̂g-koe 113-hāng,廈門街113巷,Ē-mn̂g-kue 113-hāng
廈門街114巷,Ē-mn̂g-koe 114-hāng,廈門街114巷,Ē-mn̂g-kue 114-hāng
廈門街123巷,Ē-mn̂g-koe 123-hāng,廈門街123巷,Ē-mn̂g-kue 123-hāng
廈門街130巷,Ē-mn̂g-koe 130-hāng,廈門街130巷,Ē-mn̂g-kue 130-hāng
廈門街131巷,Ē-mn̂g-koe 131-hāng,廈門街131巷,Ē-mn̂g-kue 131-hāng
廈門街135巷,Ē-mn̂g-koe 135-hāng,廈門街135巷,Ē-mn̂g-kue 135-hāng
廈門街147巷,Ē-mn̂g-koe 147-hāng,廈門街147巷,Ē-mn̂g-kue 147-hāng
廈門街25巷,Ē-mn̂g-koe 25-hāng,廈門街25巷,Ē-mn̂g-kue 25-hāng
廈門街25巷4弄,Ē-mn̂g-koe 25-hāng 4-lōng,廈門街25巷4弄,Ē-mn̂g-kue 25-hāng 4-lōng
廈門街66巷,Ē-mn̂g-koe 66-hāng,廈門街66巷,Ē-mn̂g-kue 66-hāng
廈門街71巷,Ē-mn̂g-koe 71-hāng,廈門街71巷,Ē-mn̂g-kue 71-hāng
廈門街74巷,Ē-mn̂g-koe 74-hāng,廈門街74巷,Ē-mn̂g-kue 74-hāng
廈門街81巷,Ē-mn̂g-koe 81-hāng,廈門街81巷,Ē-mn̂g-kue 81-hāng
廈門街81巷28弄,Ē-mn̂g-koe 81-hāng 28-lōng,廈門街81巷28弄,Ē-mn̂g-kue 81-hāng 28-lōng
廈門街82巷,Ē-mn̂g-koe 82-hāng,廈門街82巷,Ē-mn̂g-kue 82-hāng
廈門街99巷,Ē-mn̂g-koe 99-hāng,廈門街99巷,Ē-mn̂g-kue 99-hāng
廈門街99巷23弄,Ē-mn̂g-koe 99-hāng 23-lōng,廈門街99巷23弄,Ē-mn̂g-kue 99-hāng 23-lōng
愛國西路,Ài-kok Se-lō͘,愛國西路,Ài-kok Se-lōo
愛國西路36巷,Ài-kok Se-lō͘ 36-hāng,愛國西路36巷,Ài-kok Se-lōo 36-hāng
愛國西路42巷,Ài-kok Se-lō͘ 426-hāng,愛國西路42巷,Ài-kok Se-lōo 42-hāng
愛國東路,Ài-kok Tang-lō͘,愛國東路,Ài-kok Tang-lōo
新北大道一段,Sin-pak Tāi-tō 1-tōaⁿ,新北大道一段,Sin-pak Tāi-tō 1-tuānn
新北大道七段,Sin-pak Tāi-tō 7-tōaⁿ,新北大道七段,Sin-pak Tāi-tō 7-tuānn
新北大道二段,Sin-pak Tāi-tō 2-tōaⁿ,新北大道二段,Sin-pak Tāi-tō 2-tuānn
新北大道三段,Sin-pak Tāi-tō 3-tōaⁿ,新北大道三段,Sin-pak Tāi-tō 3-tuānn
新北大道五段,Sin-pak Tāi-tō 5-tōaⁿ,新北大道五段,Sin-pak Tāi-tō 5-tuānn
新北大道六段,Sin-pak Tāi-tō 6-tōaⁿ,新北大道六段,Sin-pak Tāi-tō 6-tuānn
新北大道四段,Sin-pak Tāi-tō 4-tōaⁿ,新北大道四段,Sin-pak Tāi-tō 4-tuānn
新北環河快速道路,Sin-pak Khoân-hô Khoài-sok Tō-lō͘,,Sin-pak Khuân-hô Khuài-sok Tō-lōo
新市橋,Sin-chhī-kiô,,
新生北路一段,Sin-seng Pak-lō͘ 1-tōaⁿ,新生北路一段,Sin-sing Pak-lōo 1-tuānn
新生北路二段,Sin-seng Pak-lō͘ 2-tōaⁿ,新生北路二段,Sin-sing Pak-lōo 2-tuānn
新生北路三段,Sin-seng Pak-lō͘ 3-tōaⁿ,新生北路三段,Sin-sing Pak-lōo 3-tuānn
新生南路一段,Sin-seng Lâm-lō͘ 1-tōaⁿ,新生南路一段,Sin-sing Lâm-lōo 1-tuānn
新生南路二段,Sin-seng Lâm-lō͘ 2-tōaⁿ,新生南路二段,Sin-sing Lâm-lōo 2-tuānn
新生南路三段,Sin-seng Lâm-lō͘ 3-tōaⁿ,新生南路三段,Sin-sing Lâm-lōo 3-tuānn
新生南路三段10巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 10-hāng,新生南路三段10巷,Sin-sing Lâm-lōo 3-tuānn 10-hāng
新生南路三段14巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 14-hāng,新生南路三段14巷,Sin-sing Lâm-lōo 3-tuānn 14-hāng
新生南路三段16巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 16-hāng,新生南路三段14巷,Sin-sing Lâm-lōo 3-tuānn 16-hāng
新生南路三段22巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 22-hāng,新生南路三段22巷,Sin-sing Lâm-lōo 3-tuānn 22-hāng
新生南路三段52巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 52-hāng,新生南路三段52巷,Sin-sing Lâm-lōo 3-tuānn 52-hāng
新生南路三段54巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 54-hāng,新生南路三段54巷,Sin-sing Lâm-lōo 3-tuānn 54-hāng
新生南路三段56巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 56-hāng,新生南路三段56巷,Sin-sing Lâm-lōo 3-tuānn 56-hāng
新生南路三段60巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 60-hāng,新生南路三段60巷,Sin-sing Lâm-lōo 3-tuānn 60-hāng
新生南路三段70巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 70-hāng,新生南路三段70巷,Sin-sing Lâm-lōo 3-tuānn 70-hāng
新生南路三段70巷2弄,Sin-seng Lâm-lō͘ 3-tōaⁿ 70-hāng 2-lōng,新生南路三段70巷2弄,Sin-sing Lâm-lōo 3-tuānn 70-hāng 2-lōng
新生南路三段76巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 76-hāng,新生南路三段76巷,Sin-sing Lâm-lōo 3-tuānn 76-hāng
新生南路三段76巷12弄,Sin-seng Lâm-lō͘ 3-tōaⁿ 76-hāng 12-lōng,新生南路三段60巷12弄,Sin-sing Lâm-lōo 3-tuānn 76-hāng 12-lōng
新生南路三段86巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 86-hāng,新生南路三段86巷,Sin-sing Lâm-lōo 3-tuānn 86-hāng
新生南路三段94巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 94-hāng,新生南路三段94巷,Sin-sing Lâm-lōo 3-tuānn 94-hāng
新生南路三段98巷,Sin-seng Lâm-lō͘ 3-tōaⁿ 98-hāng,新生南路三段98巷,Sin-sing Lâm-lōo 3-tuānn 98-hāng
新生高架道路,Sin-seng Ko-kà Tō-lō͘,新生高架道路,Sin-sing Ko-kà Tō-lōo
新光路一段,Sin-kong-lō͘ 1-tōaⁿ,新光路一段,Sin-kong-lōo 1-tuānn
新光路二段,Sin-kong-lō͘ 2-tōaⁿ,新光路二段,Sin-kong-lōo 2-tuānn
新光路二段,Sin-kong-lō͘ 2-tōaⁿ,新光路二段,Sin-kong-lōo 2-tuānn
新安路,Sin-an-lō͘,,
新店路,Sin-tiàm-lō͘,,Sin-tiàm-lōo
新店隧道,Sin-tiàm Pōng-khang,新店磅空,Sin-tiàm Pōng-khang
新樹路,Sin-chhiū-lō͘,新樹路,Sin-tshiū-lōo
椰林大道,Iâ-nâ Tōa-tō,椰林大道,Iâ-nâ Tuā-tô
楓林橋,Png-lîm-kiô,,
楓香道,Hong-hiong-tō,楓香道,Hong-hiong-tō
溪洲街137巷58弄,Khoe-chiu-koe 137-hāng 58-lōng,溪洲街137巷58弄,Khue-tsiu-kue 137-hāng 58-lōng
溪洲街,Khoe-chiu-koe,溪洲街,Khue-tsiu-kue
溪洲街137巷,Khoe-chiu-koe 137-hāng,溪洲街137巷,Khue-tsiu-kue 137-hāng
溪洲街137巷23弄,Khoe-chiu-koe 137-hāng 23-lōng,溪洲街137巷23弄,Khue-tsiu-kue 137-hāng 23-lōng
溪洲街23巷,Khoe-chiu-koe 23-hāng,溪洲街23巷,Khue-tsiu-kue 23-hāng
溪洲街23巷15弄,Khoe-chiu-koe 23-hāng,溪洲街23巷15弄,Khue-tsiu-kue 23-hāng 15-lōng
溪洲街5巷,Khoe-chiu-koe 5-hāng,溪洲街5巷,Khue-tsiu-kue 5-hāng
溫州街11巷,Un-chiu-koe 11-hāng,溫州街11巷,Un-tsiu-kue 11-hāng
溫州街,Un-chiu-koe,溫州街,Un-tsiu-kue
溫州街12巷,Un-chiu-koe 12-hāng,溫州街12巷,Un-tsiu-kue 12-hāng
溫州街16巷,Un-chiu-koe 16-hāng,溫州街16巷,Un-tsiu-kue 16-hāng
溫州街16巷18弄,Un-chiu-koe 16-hāng 18-lōng,溫州街16巷18弄,Un-tsiu-kue 16-hāng 18-lōng
溫州街16巷24弄,Un-chiu-koe 16-hāng 24-lōng,溫州街16巷24弄,Un-tsiu-kue 16-hāng 24-lōng
溫州街18巷,Un-chiu-koe 18-hāng,溫州街18巷,Un-tsiu-kue 18-hāng
溫州街18巷16弄,Un-chiu-koe 18-hāng 16-lōng,溫州街18巷16弄,Un-tsiu-kue 18-hāng 16-lōng
溫州街20巷,Un-chiu-koe 20-hāng,溫州街20巷,Un-tsiu-kue 20-hāng
溫州街22巷,Un-chiu-koe 22-hāng,溫州街22巷,Un-tsiu-kue 22-hāng
溫州街30巷,Un-chiu-koe 30-hāng,溫州街30巷,Un-tsiu-kue 30-hāng
溫州街46巷,Un-chiu-koe 46-hāng,溫州街46巷,Un-tsiu-kue 46-hāng
溫州街48巷,Un-chiu-koe 48-hāng,溫州街48巷,Un-tsiu-kue 48-hāng
溫州街49巷,Un-chiu-koe 49-hāng,溫州街49巷,Un-tsiu-kue 49-hāng
溫州街52巷,Un-chiu-koe 52-hāng,溫州街52巷,Un-tsiu-kue 52-hāng
溫州街58巷,Un-chiu-koe 58-hāng,溫州街58巷,Un-tsiu-kue 58-hāng
溫州街5巷,Un-chiu-koe 5-hāng,溫州街5巷,Un-tsiu-kue 5-hāng
溫州街68巷,Un-chiu-koe 68-hāng,溫州街68巷,Un-tsiu-kue 68-hāng
溫州街74巷,Un-chiu-koe 74-hāng,溫州街74巷,Un-tsiu-kue 74-hāng
溫州街74巷1弄,Un-chiu-koe 74-hāng 1-lōng,溫州街74巷1弄,Un-tsiu-kue 74-hāng 1-lōng
溫州街74巷2弄,Un-chiu-koe 74-hāng 2-lōng,溫州街74巷2弄,Un-tsiu-kue 74-hāng 2-lōng
溫州街74巷3弄,Un-chiu-koe 74-hāng 3-lōng,溫州街74巷3弄,Un-tsiu-kue 74-hāng 3-lōng
溫州街74巷4弄,Un-chiu-koe 74-hāng 4-lōng,溫州街74巷4弄,Un-tsiu-kue 74-hāng 4-lōng
溫州街74巷5弄,Un-chiu-koe 74-hāng 5-lōng,溫州街74巷5弄,Un-tsiu-kue 74-hāng 5-lōng
溫州街74巷6弄,Un-chiu-koe 74-hāng 6-lōng,溫州街74巷6弄,Un-tsiu-kue 74-hāng 6-lōng
瑞光路,Suī-kong-lō͘,,Suī-kong-lōo
瑞湖街,Suī-hôo-ke,,
萬大路,Bān-tāi-lō͘,萬大路,Bān-tāi-lōo
萬安街,Bān-an-ke,,Bān-an-ke
萬利街,Bān-lī-ke,,Bān-lī-ke
萬和街,Bān-hô-ke,,Bān-hô-ke
萬板大橋,Bān-pán-tuā-kiô,,
萬芳路,Bān-hong-lō͘,萬芳路,Bān-hong-lōo
萬美街一段,Bān-bí-ke-1-tōaⁿ,,Bān-bí-ke-1-tuānn
萬美街二段,Bān-bí-ke-2-tōaⁿ,,Bān-bí-ke-2-tuānn
萬盛街,Bān-sēng-koe,萬盛街,Bān-sīng-kue
萬盛街106巷,Bān-sēng-koe 106-hāng,萬盛街106巷,Bān-sīng-kue 1066-hāng
萬盛街130巷,Bān-sēng-koe 130-hāng,萬盛街130巷,Bān-sīng-kue 130-hāng
萬盛街134巷,Bān-sēng-koe 134-hāng,萬盛街134巷,Bān-sīng-kue 134-hāng
萬盛街146巷,Bān-sēng-koe 146-hāng,萬盛街146巷,Bān-sīng-kue 146-hāng
萬盛街156巷,Bān-sēng-koe 156-hāng,萬盛街156巷,Bān-sīng-kue 156-hāng
萬盛街166巷,Bān-sēng-koe 166-hāng,萬盛街166巷,Bān-sīng-kue 166-hāng
萬盛街51巷,Bān-sēng-koe 151-hāng,萬盛街151巷,Bān-sīng-kue 151-hāng
萬盛街60巷,Bān-sēng-koe 60-hāng,萬盛街60巷,Bān-sīng-kue 60-hāng
萬盛街82巷,Bān-sēng-koe 82-hāng,萬盛街82巷,Bān-sīng-kue 82-hāng
萬盛橋,Bān-sēng-kiô,萬盛橋,Bān-sīng-kiô
萬隆街,Bān-liông-koe,萬隆街,Bān-liông-kue
萬壽路一段,Bān-siū-lō͘ 1-tōaⁿ,萬壽路一段,Bān-siū-lōo 1-tuānn
萬壽路二段,Bān-siū-lō͘ 2-tōaⁿ,萬壽路二段,Bān-siū-lōo 2-tuānn
萬壽路三段,Bān-siū-lō͘ 3-tōaⁿ,萬壽路三段,Bān-siū-lōo 3-tuānn
萬寧街,Bān-lêng-koe,萬寧街,Bān-lîng-kue
聖人橋,Sèng-jîn-kiô,,
聖景路,Sèng-kéng-lō͘,,
農安街,Lông-an-ke,,Lông-an-ke
農豐街,Khìng-hong-ke,,Khìng-hong-ke
道南橋,Tō-lâm-kiô,,Tō-lâm-kiô
雷隱橋,Lûi-ún-kiô,,
鼎筆橋,Tiáⁿ-pit-kiô,,
鼎興橋,Tiáⁿ-hèng-kiô,,
嘉興街,Ka-hing-ke,,
寧波西街,Lêng-pho Sai-koe,寧波西街,Lîng-pho Sai-kue
寧波東街,Lêng-pho Tang-koe,寧波東街,Lîng-pho Tang-kue
寧夏路,Lêng-hā-lō͘,寧夏路,Lîng-hā-lōo
漢口街一段,Hàn-kháu-koe 1-tōaⁿ,漢口街一段,Hàn-kháu-kue 1-tuānn
漢口街一段30巷,Hàn-kháu-koe 1-tōaⁿ 30-hāng,漢口街一段30巷,Hàn-kháu-kue 1-tuānn 30-hāng
漢口街一段30巷14弄,Hàn-kháu-koe 1-tōaⁿ 30-hāng 14-lōng,漢口街一段30巷14弄,Hàn-kháu-kue 1-tuānn 30-hāng 14-lōng
漢口街一段68巷,Hàn-kháu-koe 1-tōaⁿ 68-hāng,漢口街一段68巷,Hàn-kháu-kue 1-tuānn 68-hāng
漢口街一段80巷,Hàn-kháu-koe 1-tōaⁿ 80-hāng,漢口街一段80巷,Hàn-kháu-kue 1-tuānn 80-hāng
漢口街一段80巷2弄,Hàn-kháu-koe 1-tōaⁿ 80-hāng 2-lōng,漢口街一段80巷2弄,Hàn-kháu-kue 1-tuānn 80-hāng 2-lōng
漢口街一段80巷4弄,Hàn-kháu-koe 1-tōaⁿ 80-hāng 4-lōng,漢口街一段80巷4弄,Hàn-kháu-kue 1-tuānn 80-hāng 4-lōng
碧溪橋,Phek-khe-kiô,,
碧潭大橋,Phek-thâm-tōa-kiô,碧潭大橋,Phik-thâm-tuā-kiô
碧潭路,Phek-thâm-lō͘,碧潭路,Phik-thâm-lōo
福州街,Hok-chiu-koe,福州街,Hok-tsiu-kue
福和橋,Hok-hô-kiô,,Hok-hō-kiô
福林橋,Hok-lîm-kiô,,
福國路,Hok-kok-lō͘,福國路,Hok-kok-lōo
福壽橋,Hok-siū-kiô,,
福爾摩沙高速公路,Hok-nī-mō͘-sa-ko-sok-kong-lō͘,,Hok-nī-mōo-sa-ko-sok-kong-lōo
福德街,Hok-tek-koe,福德街,Hok-tik-kue
福興路,Hok-heng-lō͘,,Hok-hing-lōo
福興路,Hok-heng-lō͘,,Hok-hing-lōo
福興隧道,Hok-heng-pōng-khang,,Hok-hing-pōng-khang
翠林橋,Chhùi-lîm-kiô,,
翠峰橋,Chhùi-hong-kiô,,
艋舺大道,Báng-kah Tāi-tō,艋舺大道,Báng-kah Tāi-tō
蒲葵道,Pô͘-kûi-tō,蒲葵道,Pôo-kuî-tō
鳳梨宅橋,Ông-lâi-the̍h-kiô,,
鳴遠橋,Bêng-oān-kiô,,Bîng-uān-kiô
劍南路,Kiàm-lâm-lō͘,劍南路,Kiàm-lâm-lōo
劍南橋,Kiàm-lâm-kiô,,
廣州街,Kńg-chiu-koe,廣州街,Kńg-tsiu-kue
廣州街4巷,Kńg-chiu-koe 4-hāng,廣州街4巷,Kńg-tsiu-kue 4-hāng
廣州街8巷,Kńg-chiu-koe 8-hāng,廣州街8巷,Kńg-tsiu-kue 8-hāng
慶安街,Khìng-uann-ke,,Khìng-uann-ke
慶利街,Khìng-lī-ke,,Khìng-lī-ke
慶昌橋,Khìng-tshiong-kiô,,
慶城街,Khìng-siânn-kue,,
潮州街,Tiô-chiu-koe,潮州街,Tiô-tsiu-kue
稻香路,Tō-hiong-lō͘,,Tō-hiong-lōo
蔣渭水高速公路,Chiúⁿ Ūi-chúi Ko-sok Kong-lō͘,蔣渭水高速公路,Tsiúnn-uī-tsuí Ko-sok Kong-lōo
學園路,Ha̍k-hn̂g-lō͘,,Ha̍k-hn̂g-lōo
樹新路,Chhiū-sin-lō͘,樹新路,Tshiū-sin-lōo
興安街,Heng-an-koe,興安街,Hing-an-kue
興安街174巷,Heng-an-koe 174-hāng,興安街174巷,Hing-an-kue 174-hāng
興安街174巷3弄,Heng-an-koe 174-hāng 3-lōng,興安街174巷3弄,Hing-an-kue 174-hāng 3-lōng
興城路,Hing-siânn-Lōo,,Hing-siânn-Lōo
興隆路一段,Heng-liông-lō͘-1-tōaⁿ,興隆路一段,Hing-liông-lōo-1-tuānn
興隆路一段102巷,Heng-liông-lō͘ 1-tōaⁿ 102-hāng,興隆路一段102巷,Hing-liông-lōo 1-tuānn 102-hāng
興隆路一段111巷,Heng-liông-lō͘ 1-tōaⁿ 111-hāng,興隆路一段111巷,Hing-liông-lōo 1-tuānn 111-hāng
興隆路一段125巷,Heng-liông-lō͘ 1-tōaⁿ 125-hāng,興隆路一段125巷,Hing-liông-lōo 1-tuānn 125-hāng
興隆路一段137巷,Heng-liông-lō͘ 1-tōaⁿ 137-hāng,興隆路一段137巷,Hing-liông-lōo 1-tuānn 137-hāng
興隆路一段184巷,Heng-liông-lō͘ 1-tōaⁿ 184-hāng,興隆路一段184巷,Hing-liông-lōo 1-tuānn 184-hāng
興隆路一段202巷,Heng-liông-lō͘ 1-tōaⁿ 202-hāng,興隆路一段202巷,Hing-liông-lōo 1-tuānn 202-hāng
興隆路一段202巷5弄,Heng-liông-lō͘ 1-tōaⁿ 202-hāng 5-lōng,興隆路一段202巷5弄,Hing-liông-lōo 1-tuānn 202-hāng 5-lōng
興隆路一段202巷7弄,Heng-liông-lō͘ 1-tōaⁿ 202-hāng 7-lōng,興隆路一段202巷7弄,Hing-liông-lōo 1-tuānn 202-hāng 7-lōng
興隆路一段229巷,Heng-liông-lō͘ 1-tōaⁿ 229-hāng,興隆路一段229巷,Hing-liông-lōo 1-tuānn 229-hāng
興隆路一段251巷,Heng-liông-lō͘ 1-tōaⁿ 251-hāng,興隆路一段251巷,Hing-liông-lōo 1-tuānn 251-hāng
興隆路一段251巷10弄,Heng-liông-lō͘ 1-tōaⁿ 251-hāng 10-lōng,興隆路一段251巷10弄,Hing-liông-lōo 1-tuānn 251-hāng 10-lōng
興隆路一段251巷2弄,Heng-liông-lō͘ 1-tōaⁿ 251-hāng 2-lōng,興隆路一段251巷2弄,Hing-liông-lōo 1-tuānn 251-hāng 2-lōng
興隆路一段251巷3弄,Heng-liông-lō͘ 1-tōaⁿ 251-hāng 3-lōng,興隆路一段251巷3弄,Hing-liông-lōo 1-tuānn 251-hāng 3-lōng
興隆路一段251巷4弄,Heng-liông-lō͘ 1-tōaⁿ 251-hāng 4-lōng,興隆路一段251巷4弄,Hing-liông-lōo 1-tuānn 251-hāng 4-lōng
興隆路一段271巷,Heng-liông-lō͘ 1-tōaⁿ 271-hāng,興隆路一段271巷,Hing-liông-lōo 1-tuānn 271-hāng
興隆路一段55巷,Heng-liông-lō͘-1-tōaⁿ 55-hāng,興隆路一段55巷,Hing-liông-lōo-1-tuānn 55-hāng
興隆路一段55巷27弄,Heng-liông-lō͘-1-tōaⁿ 55-hāng 27-lōng,興隆路一段55巷27弄,Hing-liông-lōo-1-tuānn 55-hāng 27-lōng
興隆路一段70巷,Heng-liông-lō͘-1-tōaⁿ 70-hāng,興隆路一段70巷,Hing-liông-lōo-1-tuānn 70-hāng
興隆路一段70巷11弄,Heng-liông-lō͘-1-tōaⁿ 70-hāng 11-lōng,興隆路一段70巷11弄,Hing-liông-lōo-1-tuānn 70-hāng 11-lōng
興隆路一段99巷,Heng-liông-lō͘ 1-tōaⁿ 99-hāng,興隆路一段99巷,Hing-liông-lōo 1-tuānn 99-hāng
興隆路二段,Heng-liông-lō͘-2-tōaⁿ,,Hing-liông-lōo-2-tuānn
興隆路二段25巷,Heng-liông-lō͘ 2-tōaⁿ 25-hāng,興隆路二段25巷,Hing-liông-lōo 2-tuānn 25-hāng
興隆路二段61巷,Heng-liông-lō͘ 2-tōaⁿ 61-hāng,興隆路二段61巷,Hing-liông-lōo 2-tuānn 61-hāng
興隆路二段95巷,Heng-liông-lō͘ 2-tōaⁿ 95-hāng,興隆路二段95巷,Hing-liông-lōo 2-tuānn 95-hāng
興隆路二段9巷,Heng-liông-lō͘-2-tōaⁿ 9-hāng,興隆路二段9巷,Hing-liông-lōo-2-tuānn 9-hāng
興隆路三段,Heng-liông-lō͘-3-tōaⁿ,興隆路三段,Hing-liông-lōo-3-tuānn
興隆路三段36巷,Heng-liông-lō͘-3-tōaⁿ 36-hāng,興隆路三段36巷,Hing-liông-lōo-3-tuānn 36-hāng
興隆路四段,Heng-liông-lō͘-4-tōaⁿ,,Hing-liông-lōo-4-tuānn
興隆路四段,Heng-liông-lō͘-4-tōaⁿ,,Hing-liông-lōo-4-tuānn
興順街,Heng-sūn-ke,,Hing-sūn-ke
興寧街,Heng-lêng-koe,興寧街,Hing-lîng-kue
興德路,Heng-tek-lō͘,,Hing-tik-lōo
衡陽路,Hêng-iông-lō͘,衡陽路,Hîng-iông-lōo
衡陽路84巷,Hêng-iông-lō͘ 84-hāng,衡陽路84巷,Hîng-iông-lōo 84-hāng
錦州街,Gím-chiu-koe,錦州街,Gím-tsiu-kue
館前路,Koán-chêng-lō͘,館前路,Kuán-tsîng-lōo
龍泉街,Liông-choân-koe,龍泉街,Liông-tsuân-kue
龍泉街5巷,Liông-choân-koe 5-hāng,龍泉街5巷,Liông-tsuân-kue 5-hāng
龍泉街87巷,Liông-choân-koe 87-hāng,龍泉街87巷,Liông-tsuân-kue 87-hāng
龍泉街93巷,Liông-choân-koe 93-hāng,龍泉街93巷,Liông-tsuân-kue 93-hāng
龍興街,Liông-heng-ke,,Liông-hing-ke
嶺頂橋,Niá-téng-kiô,嶺頂橋,Niá-tíng-kiô
濟南路一段,Chè-lâm-lō͘ 1-tōaⁿ,濟南路一段,Tsè-lâm-lōo 1-tuānn
濟南路二段,Chè-lâm-lō͘ 2-tōaⁿ,濟南路二段,Tsè-lâm-lōo 2-tuānn
濟南路三段,Chè-lâm-lō͘ 3-tōaⁿ,濟南路三段,Tsè-lâm-lōo 3-tuānn
濱江街,Pin-kang-ke,,Pin-kang-ke
濱海公路,Pin-hái Kong-lō͘,,Pin-hái Kong-lōo
營盤橋,Iâⁿ-pôaⁿ-kiô,營盤橋,Iânn-puânn-kiô
環東大道,Khoân-tang Tōa-tō,,Khuân-tang Tuā-tō
環河北路一段,Khoân-hô Pak-lō͘ 1-tōaⁿ,,Khuân-hô Pak-lōo 1-tuānn
環河北路二段,Khoân-hô Pak-lō͘ 2-tōaⁿ,,Khuân-hô Pak-lōo 2-tuānn
環河北路三段,Khoân-hô Pak-lō͘ 3-tōaⁿ,,Khuân-hô Pak-lōo 3-tuānn
環河快速道路,Khoân-hô Khoài-sok Tō-lō͘,,Khuân-hô Khuài-sok Tō-lōo
環河快速道路,Khoân-hô Khoài-sok Tō-lō͘,,Khuân-hô Khuài-sok Tō-lōo
環河南路一段,Khoân-hô Lâm-lō͘ 1-tōaⁿ,環河南路一段,Khuân-hô Lâm-lōo 1-tuānn
