name,alt_name,name:nan-HJ,name:nan,name:nan-TL
旗山區,,,Kî-san-khu,
新化區,,,Sin-hoà-khu,
西港區,,,Sai-káng-khu,
內埔鄉,,,Lāi-po͘-hiong,
霧峰區,,,Bū-hong-khu,
新竹縣,,新竹縣,Sin-tek-koān,Sin-tik-kuān
鳥松區,,,Chiáu-chhêng-khu,
苑裡鎮,,,Oán-lí-tìn,
豐原區,,,Hong-goân-khu,
新莊區,,新莊區,Sin-chng-khu,Sin-tsng-khu
信義鄉,,,Sìn-gī-hiong,
卓溪鄉,,,Toh-khe-hiong,
南投縣,,南投縣,Lâm-tâu-koān,Lâm-tâu-kuān
雲林縣,,雲林縣,Hûn-lîm-koān,Hûn-lîm-kuān
冬山鄉,,,Tang-soaⁿ-hiong,
善化區,,,Siān-hoà-khu,
四湖鄉,,,Sì-ô͘-hiong,
麻豆區,,,Moâ-tāu-khu,
麟洛鄉,,,Lîn-lo̍k-hiong,
東勢鄉,東勢厝,,Tang-sì-hiong,
五股區,,五股區,Gō͘-kó͘-khu,Gōo-kóo-khu
湖口鄉,,湖口鄉,Ô͘-kháu-hiong,Ôo-kháu-hiong
瑪家鄉,,,Má-ka-hiong,
和平區,,,Hô-pêng-khu,
秀林鄉,,,Siù-lîm-hiong,
林口區,,林口區,Nâ-kháu-khu,Nâ-kháu-khu
北投區,,,Pak-tâu-khu,
大埤鄉,,,Toā-pi-hiong,
將軍區,,,Chiong-kun-khu,
秀水鄉,秀水,,Siù-chúi-hiong,
茄萣區,,,Ka-tiāⁿ-khu,
北門區,,,Pak-mn̂g-khu,
那瑪夏區,Namasia,,Namasia-khu,
桃園區,,,Thô-hn̂g-khu,
彰化縣,,彰化縣,Chiong-hòa-koān,Tsiong-huà-kuān
芳苑鄉,,,Hong-oán-hiong,
石岡區,,,Chio̍h-kng-khu,
新屋區,,,Sin-ok-khu,
三地門鄉,,,Soaⁿ-ti-mn̂g-hiong,
公館鄉,,,Kong-koán-hiong,
員林市,,,Oân-lîm-chhī,
春日鄉,,,Chhun-ji̍t-hiong,
復興區,,,Ho̍k-heng-khu,
花蓮縣,洄瀾,花蓮縣,Hoa-liân-koān,Hua-liân-kuān
西螺鎮,,,Sai-lê-tìn,
土庫鎮,,,Thô͘-khò͘-tìn,
阿蓮區,,,A-lian-khu,
平溪區,,,Pêng-khe-khu,
石碇區,,,Chio̍h-tēng-khu,
永靖鄉,,,Éng-chēng-hiong,
東石鄉,,,Tang-chio̍h-hiong,
燕巢區,,,Iàn-châu-khu,
佳冬鄉,,,Ka-tang-hiong,
澎湖縣,,澎湖縣,Phêⁿ-ô͘-koān,Phênn-ôo-kuān
外埔區,,,Goā-po͘-khu,
新港鄉,,,Sin-káng-hiong,
大肚區,,,Toā-tō͘-khu,
尖石鄉,,,Chiam-chio̍h-hiong,
北斗鎮,,,Pó-táu-tìn,
坪林區,,,Pêⁿ-nâ-khu,
新城鄉,,,Sin-siâⁿ-hiong,
岡山區,,,Kong-san-khu,
柳營區,,,Liú-iâⁿ-khu,
龍潭區,,,Liông-thâm-khu,
芬園鄉,芬園,,Hun-hn̂g-hiong,
竹崎鄉,,,Tek-kiā-hiong,
六甲區,,,La̍k-kah-khu,
枋寮鄉,,,Pang-liâu-hiong,
后里區,,,Aū-lí-khu,
烈嶼鄉,,烈嶼鄉,Lia̍t-sū-hiong,Lia̍t-sū-hiong
八德區,,八德區,Pat-tek-khu,Pat-tik-khu
大武鄉,,,Tāi-bú-hiong,
連江縣,,連江縣,Liân-kang-koān,Liân-kang-kuān
中埔鄉,,,Tiong-po͘-hiong,
貢寮區,,,Kòng-liâu-khu,
北竿鄉,,,Pak-kan-hiong,
福興鄉,,,Hok-heng-hiong,
太麻里鄉,,,Thài-mâ-lí-hiong,
西嶼鄉,,,Sai-sū-hiong,
三重區,,三重區,Sam-tiông-khu,Sam-tiông-khu
五峰鄉,,,Ngó͘-hong-hiong,
臺東市,,,Tâi-tang-chhī,
義竹鄉,,,Gī-tek-hiong,
甲仙區,,,Kah-sian-khu,
鹿野鄉,,,Lo̍k-iá-hiong,
中正區,,,Tiong-chèng-khu,
清水區,,,Chheng-chúi-khu,
蘆竹區,,,Lô͘-tek-khu,
里港鄉,,,Lí-káng-hiong,
新興區,,,Sin-heng-khu,
龍井區,,,Liông-chéⁿ-khu,
峨眉鄉,,,Gô-bî-hiong,
牡丹鄉,,,Bó͘-tan-hiong,
鹽埔鄉,,,Iâm-po͘-hiong,
安樂區,,,An-lo̍k-khu,
溪湖鎮,溪湖,溪湖鎮,Khe-ô͘-tìn,Khe-ôo-tìn
獅潭鄉,,,Sai-thâm-hiong,
鼓山區,,,Kó͘-san-khu,
樹林區,,,Chhiū-nâ-khu,
大林鎮,,,Tōa-nâ-tìn,
寶山鄉,,,Pó-san-hiong,
和美鎮,,,Hô-bí-tìn,
湖內區,,,Ô͘-lāi-khu,
三灣鄉,,,Sam-oan-hiong,
竹南鎮,,,Tek-lâm-tìn,
名間鄉,,,Bêng-kan-hiong,
中寮鄉,,,Tiong-liâu-hiong,
萬里區,,,Bān-lí-khu,
來義鄉,,,Lâi-gī-hiong,
古坑鄉,,,Kó͘-kheⁿ-hiong,
國姓鄉,,,Kok-sèng-hiong,
土城區,,土城區,Thô͘-siâⁿ-khu,Thôo-siânn-khu
大寮區,,,Tōa-liâu-khu,
東港鎮,,,Tang-káng-tìn,
東河鄉,,,Tong-hô-hiong,
斗六市,,,Táu-la̍k-chhī,
山上區,,,San-siōng-khu,
七堵區,七堵,,Chhit-tó͘-khu,
水里鄉,,,Chúi-lí-hiong,
崙背鄉,,崙背鄉,Lūn-poè-hiong,Lūn-puè-hiong
前鎮區,,,Chiân-tìn-khu,
大雅區,,,Tāi-ngé-khu,
海端鄉,,,Hái-toan-hiong,
崁頂鄉,,,Khàm-téng-hiong,
湖西鄉,,,Ô͘-sai-hiong,
安平區,,,An-pêng-khu,
關廟區,,,Koan-biō-khu,
銅鑼鄉,,,Tâng-lô-hiong,
七美鄉,,,Chhit-bí-hiong,
西屯區,,,Sai-tūn-khu,
北港鎮,,,Pak-káng-tìn,
金沙鎮,,,Kim-soa-tìn,
臺中市,,臺中市,Tâi-tiong-chhī,Tâi-tiong-tshī
鳳林鎮,,,Hōng-lîm-tìn,
員山鄉,,,Îⁿ-soaⁿ-hiong,
嘉義市,,嘉義市,Ka-gī-chhī,Ka-gī-tshī
北區,,,Pak-khu,
潮州鎮,,,Tiô-chiu-tìn,
東區,,,Tang-khu,
頭城鎮,,,Thâu-siâⁿ-tìn,
梓官區,,,Chú-koaⁿ-khu,
吉安鄉,,,Kiat-an-hiong,
