name,name:nan-HJ,name:nan-TL,name:nan-POJ,name:nan-HJ || name,name:nan-TL | name:nan-POJ,name:nan-HJ || name（name:nan-TL | name:nan-POJ）,Include numbers or ()
140高地公園,,,140-ko-tē-kong-hn̂g,140高地公園,140-ko-tē-kong-hn̂g,140高地公園（140-ko-tē-kong-hn̂g）,TRUE
一女中,一女中,It-lú-tiong,It-lú-tiong,一女中,It-lú-tiong,一女中（It-lú-tiong）,FALSE
一重橋,,,It-têng-kiô,一重橋,It-têng-kiô,一重橋（It-têng-kiô）,FALSE
一壽橋,一壽橋,It-siū-kiô,It-siū-kiô,一壽橋,It-siū-kiô,一壽橋（It-siū-kiô）,FALSE
一鄰前,一鄰前,I̍t-lîn-tsîng,It-lîn-chêng,一鄰前,I̍t-lîn-tsîng | It-lîn-chêng,一鄰前（I̍t-lîn-tsîng | It-lîn-chêng）,FALSE
七十二階,七十二坎,Tshit-tsa̍p-jī-khám,Chhit-cha̍p-jī-khám,七十二坎,Tshit-tsa̍p-jī-khám | Chhit-cha̍p-jī-khám,七十二坎（Tshit-tsa̍p-jī-khám | Chhit-cha̍p-jī-khám）,FALSE
七股區,,,Chhit-kó͘-khu,七股區,Chhit-kó͘-khu,七股區（Chhit-kó͘-khu）,FALSE
七星橋,,,Chhit-chhiⁿ-kiô,七星橋,Chhit-chhiⁿ-kiô,七星橋（Chhit-chhiⁿ-kiô）,FALSE
七美國小,,Tshit-bí-kok-sió,Chhit-bí-kok-sió,七美國小,Tshit-bí-kok-sió | Chhit-bí-kok-sió,七美國小（Tshit-bí-kok-sió | Chhit-bí-kok-sió）,FALSE
七美國中,,Tshit-bí-kok-tiong,Chhit-bí-kok-tiong,七美國中,Tshit-bí-kok-tiong | Chhit-bí-kok-tiong,七美國中（Tshit-bí-kok-tiong | Chhit-bí-kok-tiong）,FALSE
七美鄉,,,Chhit-bí-hiong,七美鄉,Chhit-bí-hiong,七美鄉（Chhit-bí-hiong）,FALSE
七堵,七堵,Tshit-tóo,Chhit-tó͘,七堵,Tshit-tóo | Chhit-tó͘,七堵（Tshit-tóo | Chhit-tó͘）,FALSE
七堵區,,,Chhit-tó͘-khu,七堵區,Chhit-tó͘-khu,七堵區（Chhit-tó͘-khu）,FALSE
七張,七張,Tshit-tiunn,Chhit-tiuⁿ,七張,Tshit-tiunn | Chhit-tiuⁿ,七張（Tshit-tiunn | Chhit-tiuⁿ）,FALSE
九甲,九甲,Káu-kah,Káu-kah,九甲,Káu-kah,九甲（Káu-kah）,FALSE
九甲三,,Káu-kah-sann,Káu-kah-sann,九甲三,Káu-kah-sann,九甲三（Káu-kah-sann）,FALSE
九甲六,九甲六,Káu-kah-la̍k,Káu-kah-la̍k,九甲六,Káu-kah-la̍k,九甲六（Káu-kah-la̍k）,FALSE
九份,,,Káu-hūn,九份,Káu-hūn,九份（Káu-hūn）,FALSE
九如鄉,,,Kiú-jû-hiong,九如鄉,Kiú-jû-hiong,九如鄉（Kiú-jû-hiong）,FALSE
九曲堂,九曲堂,Kiú-khiok-tông,Kiú-khiok-tông,九曲堂,Kiú-khiok-tông,九曲堂（Kiú-khiok-tông）,FALSE
九汴頭,九汴頭,Káu-piān-thâu,Káu-piān-thâu,九汴頭,Káu-piān-thâu,九汴頭（Káu-piān-thâu）,FALSE
九芎腳,九芎跤,Káu-kiong-kha,Káu-kiong-kha,九芎跤,Káu-kiong-kha,九芎跤（Káu-kiong-kha）,FALSE
,九張犁,Káu-tiunn-lê,,九張犁,Káu-tiunn-lê,九張犁（Káu-tiunn-lê）,FALSE
九間仔,九間仔,Káu-king-á,Káu-keng-á,九間仔,Káu-king-á | Káu-keng-á,九間仔（Káu-king-á | Káu-keng-á）,FALSE
,九德,Kiú-tik,,九德,Kiú-tik,九德（Kiú-tik）,FALSE
九鬮,九鬮,Káu-khau,Káu-khau,九鬮,Káu-khau,九鬮（Káu-khau）,FALSE
二二八和平公園,二二八和平公園,Jī-jī-pat Hô-pîng Kong-hn̂g,Jī-jī-pat Hô-pêng Kong-hn̂g,二二八和平公園,Jī-jī-pat Hô-pîng Kong-hn̂g | Jī-jī-pat Hô-pêng Kong-hn̂g,二二八和平公園（Jī-jī-pat Hô-pîng Kong-hn̂g | Jī-jī-pat Hô-pêng Kong-hn̂g）,FALSE
二八張,二八張,Jī-peh-tiunn,Jī-peh-tiuⁿ,二八張,Jī-peh-tiunn | Jī-peh-tiuⁿ,二八張（Jī-peh-tiunn | Jī-peh-tiuⁿ）,FALSE
二十六份,二十六份,Jī-tsa̍p-la̍k-hūn,Jī-cha̍p-la̍k-hūn,二十六份,Jī-tsa̍p-la̍k-hūn | Jī-cha̍p-la̍k-hūn,二十六份（Jī-tsa̍p-la̍k-hūn | Jī-cha̍p-la̍k-hūn）,FALSE
二十張,二十張,Lī-tsa̍p-tiunn,Lī-cha̍p-tiuⁿ,二十張,Lī-tsa̍p-tiunn | Lī-cha̍p-tiuⁿ,二十張（Lī-tsa̍p-tiunn | Lī-cha̍p-tiuⁿ）,FALSE
二仁溪,二仁溪,Jī-jîn-khe,Jī-jîn-khe,二仁溪,Jī-jîn-khe,二仁溪（Jī-jîn-khe）,FALSE
二水,二水,Jī-tsuí,Jī-chúi,二水,Jī-tsuí | Jī-chúi,二水（Jī-tsuí | Jī-chúi）,FALSE
二水鄉,,,Jī-chúi-hiong,二水鄉,Jī-chúi-hiong,二水鄉（Jī-chúi-hiong）,FALSE
二叭子,二叭子,Jī-pat-á,Jī-pat-á,二叭子,Jī-pat-á,二叭子（Jī-pat-á）,FALSE
二叭子,二叭仔,Jī-pat-á,Jī-pat-á,二叭仔,Jī-pat-á,二叭仔（Jī-pat-á）,FALSE
二甲,二甲,Lī-kah,Lī-kah,二甲,Lī-kah,二甲（Lī-kah）,FALSE
,二份埔,Jī-hūn-poo,,二份埔,Jī-hūn-poo,二份埔（Jī-hūn-poo）,FALSE
二林鎮,,,Jī-lîm-tìn,二林鎮,Jī-lîm-tìn,二林鎮（Jī-lîm-tìn）,FALSE
二城,二城,Jī-siânn,Jī-siâⁿ,二城,Jī-siânn | Jī-siâⁿ,二城（Jī-siânn | Jī-siâⁿ）,FALSE
二重埔,,,Jī-têng-po͘,二重埔,Jī-têng-po͘,二重埔（Jī-têng-po͘）,FALSE
二重埔,,,Jī-tiunn-poo,二重埔,Jī-tiunn-poo,二重埔（Jī-tiunn-poo）,FALSE
二重橋,,,Jī-têng-kiô,二重橋,Jī-têng-kiô,二重橋（Jī-têng-kiô）,FALSE
二崙鄉,,,Jī-lūn-hiong,二崙鄉,Jī-lūn-hiong,二崙鄉（Jī-lūn-hiong）,FALSE
二結,二結,Jī-kiat,Jī-kiat,二結,Jī-kiat,二結（Jī-kiat）,FALSE
二萬平,二萬平,Jī-bān-pîng,Jī-bān-pêng,二萬平,Jī-bān-pîng | Jī-bān-pêng,二萬平（Jī-bān-pîng | Jī-bān-pêng）,FALSE
二膽島,二膽島,Jī-tánn-tó,Jī-táⁿ-tó,二膽島,Jī-tánn-tó | Jī-táⁿ-tó,二膽島（Jī-tánn-tó | Jī-táⁿ-tó）,FALSE
入安仔,入安仔,Ji̍p-an-á,Ji̍p-an-á,入安仔,Ji̍p-an-á,入安仔（Ji̍p-an-á）,FALSE
八二三紀念公園(4號公園),,,Pat-jī-sam-kì-liām-kong-hn̂g(4-hō-kong-hn̂g),八二三紀念公園(4號公園),Pat-jī-sam-kì-liām-kong-hn̂g(4-hō-kong-hn̂g),八二三紀念公園(4號公園)（Pat-jī-sam-kì-liām-kong-hn̂g(4-hō-kong-hn̂g)）,TRUE
八分,八分,Pueh-hun,Poeh-hun,八分,Pueh-hun | Poeh-hun,八分（Pueh-hun | Poeh-hun）,FALSE
八斗子,,,Peh-táu-á,八斗子,Peh-táu-á,八斗子（Peh-táu-á）,FALSE
八仙圳,,,Pat-sian-chùn,八仙圳,Pat-sian-chùn,八仙圳（Pat-sian-chùn）,FALSE
八仙橋,,,Pat-sian-kiô,八仙橋,Pat-sian-kiô,八仙橋（Pat-sian-kiô）,FALSE
八里區,八里區,Pat-lí-khu,Pat-lí-khu,八里區,Pat-lí-khu,八里區（Pat-lí-khu）,FALSE
八堵,八堵,Peh-tóo,Peh-tó͘,八堵,Peh-tóo | Peh-tó͘,八堵（Peh-tóo | Peh-tó͘）,FALSE
八德中洲街口,八德中洲街仔口,Pat-tik Tiong-tsiu Kue-á-kháu,Pat-tek Tiong-chiu Koe-á-kháu,八德中洲街仔口,Pat-tik Tiong-tsiu Kue-á-kháu | Pat-tek Tiong-chiu Koe-á-kháu,八德中洲街仔口（Pat-tik Tiong-tsiu Kue-á-kháu | Pat-tek Tiong-chiu Koe-á-kháu）,FALSE
八德區,八德區,Pat-tik-khu,Pat-tek-khu,八德區,Pat-tik-khu | Pat-tek-khu,八德區（Pat-tik-khu | Pat-tek-khu）,FALSE
八德街,八德街,Pat-tik-kue,Pat-tek-koe,八德街,Pat-tik-kue | Pat-tek-koe,八德街（Pat-tik-kue | Pat-tek-koe）,FALSE
八德路一段,八德路一段,Pat-tik-lōo 1-tuānn,Pat-tek-lō͘ 1-tōaⁿ,八德路一段,Pat-tik-lōo 1-tuānn | Pat-tek-lō͘ 1-tōaⁿ,八德路一段（Pat-tik-lōo 1-tuānn | Pat-tek-lō͘ 1-tōaⁿ）,TRUE
八德路二段,八德路二段,Pat-tik-lōo 2-tuānn,Pat-tek-lō͘ 2-tōaⁿ,八德路二段,Pat-tik-lōo 2-tuānn | Pat-tek-lō͘ 2-tōaⁿ,八德路二段（Pat-tik-lōo 2-tuānn | Pat-tek-lō͘ 2-tōaⁿ）,TRUE
八德路三段,八德路三段,Pat-tik-lōo 3-tuānn,Pat-tek-lō͘ 3-tōaⁿ,八德路三段,Pat-tik-lōo 3-tuānn | Pat-tek-lō͘ 3-tōaⁿ,八德路三段（Pat-tik-lōo 3-tuānn | Pat-tek-lō͘ 3-tōaⁿ）,TRUE
八德路四段,八德路四段,Pat-tik-lōo 4-tuānn,Pat-tek-lō͘ 4-tōaⁿ,八德路四段,Pat-tik-lōo 4-tuānn | Pat-tek-lō͘ 4-tōaⁿ,八德路四段（Pat-tik-lōo 4-tuānn | Pat-tek-lō͘ 4-tōaⁿ）,TRUE
十一命,十一命,Tsa̍p-it-miā,Cha̍p-it-miā,十一命,Tsa̍p-it-miā | Cha̍p-it-miā,十一命（Tsa̍p-it-miā | Cha̍p-it-miā）,FALSE
十二甲,十二甲,Tsa̍p-jī-kah,Cha̍p-jī-kah,十二甲,Tsa̍p-jī-kah | Cha̍p-jī-kah,十二甲（Tsa̍p-jī-kah | Cha̍p-jī-kah）,FALSE
十二張,,Tsa̍p-jī-tiunn,Cha̍p-jī-tiuⁿ,十二張,Tsa̍p-jī-tiunn | Cha̍p-jī-tiuⁿ,十二張（Tsa̍p-jī-tiunn | Cha̍p-jī-tiuⁿ）,FALSE
十八分,,,Tsa̍p-pueh-hun,十八分,Tsa̍p-pueh-hun,十八分（Tsa̍p-pueh-hun）,FALSE
十八汴,十八汴,Tsa̍p-pueh-piān,Cha̍p-poeh-piān,十八汴,Tsa̍p-pueh-piān | Cha̍p-poeh-piān,十八汴（Tsa̍p-pueh-piān | Cha̍p-poeh-piān）,FALSE
十三姓,十三姓,Tsa̍p-sann-sìnn,Cha̍p-saⁿ-sìⁿ,十三姓,Tsa̍p-sann-sìnn | Cha̍p-saⁿ-sìⁿ,十三姓（Tsa̍p-sann-sìnn | Cha̍p-saⁿ-sìⁿ）,FALSE
十三股,十三股,Tsa̍p-sann-kóo,Cha̍p-saⁿ-kó͘,十三股,Tsa̍p-sann-kóo | Cha̍p-saⁿ-kó͘,十三股（Tsa̍p-sann-kóo | Cha̍p-saⁿ-kó͘）,FALSE
十五分內,十五分內,Tsa̍p-gōo-hūn-lāi,Cha̍p-gō͘-hūn-lāi,十五分內,Tsa̍p-gōo-hūn-lāi | Cha̍p-gō͘-hūn-lāi,十五分內（Tsa̍p-gōo-hūn-lāi | Cha̍p-gō͘-hūn-lāi）,FALSE
十四份,十四份,Tsa̍p-sì-hūn,Cha̍p-sì-hūn,十四份,Tsa̍p-sì-hūn | Cha̍p-sì-hūn,十四份（Tsa̍p-sì-hūn | Cha̍p-sì-hūn）,FALSE
十四張,十四張,Tsa̍p-sì-tiunn,Cha̍p-sì-tiuⁿ,十四張,Tsa̍p-sì-tiunn | Cha̍p-sì-tiuⁿ,十四張（Tsa̍p-sì-tiunn | Cha̍p-sì-tiuⁿ）,FALSE
十四張,十四張,Tsa̍p-sì-tiunn,,十四張,Tsa̍p-sì-tiunn,十四張（Tsa̍p-sì-tiunn）,FALSE
十分,十份,Tsa̍p-hūn,Cha̍p-hūn,十份,Tsa̍p-hūn | Cha̍p-hūn,十份（Tsa̍p-hūn | Cha̍p-hūn）,FALSE
十字路,十字路,Si̍p-jī-lōo,Si̍p-jī-lō͘,十字路,Si̍p-jī-lōo | Si̍p-jī-lō͘,十字路（Si̍p-jī-lōo | Si̍p-jī-lō͘）,FALSE
十股,十股,Tsa̍p-kóo,Cha̍p-kó͘,十股,Tsa̍p-kóo | Cha̍p-kó͘,十股（Tsa̍p-kóo | Cha̍p-kó͘）,FALSE
十股林,,,Tsa̍p-kóo-nâ,十股林,Tsa̍p-kóo-nâ,十股林（Tsa̍p-kóo-nâ）,FALSE
三十張犁,三十張犁,Sann-tsa̍p-tiunn-luê,Saⁿ-cha̍p-tiuⁿ-lôe,三十張犁,Sann-tsa̍p-tiunn-luê | Saⁿ-cha̍p-tiuⁿ-lôe,三十張犁（Sann-tsa̍p-tiunn-luê | Saⁿ-cha̍p-tiuⁿ-lôe）,FALSE
三十張犁公園,三十張犁公園,Sann-tsa̍p-tiunn-luê Kong-hn̂g,Saⁿ-cha̍p-tiuⁿ-lôe Kong-hn̂g,三十張犁公園,Sann-tsa̍p-tiunn-luê Kong-hn̂g | Saⁿ-cha̍p-tiuⁿ-lôe Kong-hn̂g,三十張犁公園（Sann-tsa̍p-tiunn-luê Kong-hn̂g | Saⁿ-cha̍p-tiuⁿ-lôe Kong-hn̂g）,FALSE
三十張犂,,,Sann-tsa̍p-tiunn-lê,三十張犂,Sann-tsa̍p-tiunn-lê,三十張犂（Sann-tsa̍p-tiunn-lê）,FALSE
三千,,Sam-tshian,Sam-chhian,三千,Sam-tshian | Sam-chhian,三千（Sam-tshian | Sam-chhian）,FALSE
三民,三民,Sam-bîn,Sam-bîn,三民,Sam-bîn,三民（Sam-bîn）,FALSE
,三民高中,Sam-bîn Ko-tiong,,三民高中,Sam-bîn Ko-tiong,三民高中（Sam-bîn Ko-tiong）,FALSE
三民區,,,Sam-bîn-khu,三民區,Sam-bîn-khu,三民區（Sam-bîn-khu）,FALSE
三民路,三民路,Sam-bîn-lōo,Sam-bîn-lō͘,三民路,Sam-bîn-lōo | Sam-bîn-lō͘,三民路（Sam-bîn-lōo | Sam-bîn-lō͘）,FALSE
三甲,三甲,Sann-kah,Saⁿ-kah,三甲,Sann-kah | Saⁿ-kah,三甲（Sann-kah | Saⁿ-kah）,FALSE
三合橋,,,Sann-ha̍p-kiô,三合橋,Sann-ha̍p-kiô,三合橋（Sann-ha̍p-kiô）,FALSE
三地門鄉,,,Soaⁿ-ti-mn̂g-hiong,三地門鄉,Soaⁿ-ti-mn̂g-hiong,三地門鄉（Soaⁿ-ti-mn̂g-hiong）,FALSE
,三多商圈,Sam-to Siong-khuan,,三多商圈,Sam-to Siong-khuan,三多商圈（Sam-to Siong-khuan）,FALSE
三安里,三安里,Sann-an-lí,Saⁿ-an-lí,三安里,Sann-an-lí | Saⁿ-an-lí,三安里（Sann-an-lí | Saⁿ-an-lí）,FALSE
三坑,三坑仔,Sann-khenn-á,Saⁿ-kheⁿ-á,三坑仔,Sann-khenn-á | Saⁿ-kheⁿ-á,三坑仔（Sann-khenn-á | Saⁿ-kheⁿ-á）,FALSE
三和,,,Sam-hô,三和,Sam-hô,三和（Sam-hô）,FALSE
,三和國中,Sam-hô Kok-tiong,,三和國中,Sam-hô Kok-tiong,三和國中（Sam-hô Kok-tiong）,FALSE
三和路一段,三和路一段,Sann-hô-lōo 1-tuānn,Saⁿ-hô-lō͘ 1-tōaⁿ,三和路一段,Sann-hô-lōo 1-tuānn | Saⁿ-hô-lō͘ 1-tōaⁿ,三和路一段（Sann-hô-lōo 1-tuānn | Saⁿ-hô-lō͘ 1-tōaⁿ）,TRUE
三和路二段,三和路二段,Sann-hô-lōo 2-tuānn,Saⁿ-hô-lō͘ 2-tōaⁿ,三和路二段,Sann-hô-lōo 2-tuānn | Saⁿ-hô-lō͘ 2-tōaⁿ,三和路二段（Sann-hô-lōo 2-tuānn | Saⁿ-hô-lō͘ 2-tōaⁿ）,TRUE
三和路三段,三和路三段,Sann-hô-lōo 3-tuānn,Saⁿ-hô-lō͘ 3-tōaⁿ,三和路三段,Sann-hô-lōo 3-tuānn | Saⁿ-hô-lō͘ 3-tōaⁿ,三和路三段（Sann-hô-lōo 3-tuānn | Saⁿ-hô-lō͘ 3-tōaⁿ）,TRUE
三和路四段,三和路四段,Sann-hô-lōo 4-tuānn,Saⁿ-hô-lō͘ 4-tōaⁿ,三和路四段,Sann-hô-lōo 4-tuānn | Saⁿ-hô-lō͘ 4-tōaⁿ,三和路四段（Sann-hô-lōo 4-tuānn | Saⁿ-hô-lō͘ 4-tōaⁿ）,TRUE
三和橋,,,Saⁿ-hô-kiô,三和橋,Saⁿ-hô-kiô,三和橋（Saⁿ-hô-kiô）,FALSE
三姓橋,三姓橋,Sam-sìng-kiô,Sam-sèng-kiô,三姓橋,Sam-sìng-kiô | Sam-sèng-kiô,三姓橋（Sam-sìng-kiô | Sam-sèng-kiô）,FALSE
三抱竹,三抱竹,Sann-phō-tik,Saⁿ-phō-tek,三抱竹,Sann-phō-tik | Saⁿ-phō-tek,三抱竹（Sann-phō-tik | Saⁿ-phō-tek）,FALSE
三板橋,三枋橋,Sam-pang-kiô,Sam-pang-kiô,三枋橋,Sam-pang-kiô,三枋橋（Sam-pang-kiô）,FALSE
三芝區,,,Sam-chi-khu,三芝區,Sam-chi-khu,三芝區（Sam-chi-khu）,FALSE
三城,三城,Sann-siânn,Saⁿ-siâⁿ,三城,Sann-siânn | Saⁿ-siâⁿ,三城（Sann-siânn | Saⁿ-siâⁿ）,FALSE
三城湖,三城湖,Sann-siânn-ôo,Saⁿ-siâⁿ-ô͘,三城湖,Sann-siânn-ôo | Saⁿ-siâⁿ-ô͘,三城湖（Sann-siânn-ôo | Saⁿ-siâⁿ-ô͘）,FALSE
三星鄉,,,Sam-seng-hiong,三星鄉,Sam-seng-hiong,三星鄉（Sam-seng-hiong）,FALSE
三軍總醫院(辛亥),三軍總病院(辛亥),Sam-kun Tsóng-pīnn-īnn(Sin-hāi),Sam-kun Chóng-pīⁿ-īⁿ(Sin-hāi),三軍總病院(辛亥),Sam-kun Tsóng-pīnn-īnn(Sin-hāi) | Sam-kun Chóng-pīⁿ-īⁿ(Sin-hāi),三軍總病院(辛亥)（Sam-kun Tsóng-pīnn-īnn(Sin-hāi) | Sam-kun Chóng-pīⁿ-īⁿ(Sin-hāi)）,TRUE
三重埔,,,San-tiông-po͘,三重埔,San-tiông-po͘,三重埔（San-tiông-po͘）,FALSE
,三重埔,Sann-tîng-poo,,三重埔,Sann-tîng-poo,三重埔（Sann-tîng-poo）,FALSE
三重區,三重區,Sam-tiông-khu,Sam-tiông-khu,三重區,Sam-tiông-khu,三重區（Sam-tiông-khu）,FALSE
,三重國小,Sam-tiông Kok-sió,,三重國小,Sam-tiông Kok-sió,三重國小（Sam-tiông Kok-sió）,FALSE
三重橋,,,Saⁿ-têng-kiô,三重橋,Saⁿ-têng-kiô,三重橋（Saⁿ-têng-kiô）,FALSE
三峯,,Sam-hong,Sam-hong,三峯,Sam-hong,三峯（Sam-hong）,FALSE
三峽河,三峽河,Sam-kiap-hô,Sam-kiap-hô,三峽河,Sam-kiap-hô,三峽河（Sam-kiap-hô）,FALSE
三峽區,,,Sam-kiap-khu,三峽區,Sam-kiap-khu,三峽區（Sam-kiap-khu）,FALSE
三峽國中,三峽國中,Sam-kiap Kok-tiong,Sam-kiap Kok-tiong,三峽國中,Sam-kiap Kok-tiong,三峽國中（Sam-kiap Kok-tiong）,FALSE
三張犁,三張犁,Sann-tiunn-luê,Saⁿ-tiuⁿ-lôe,三張犁,Sann-tiunn-luê | Saⁿ-tiuⁿ-lôe,三張犁（Sann-tiunn-luê | Saⁿ-tiuⁿ-lôe）,FALSE
三條崙,三條崙,Sann-tiâu-lūn,Saⁿ-tiâu-lūn,三條崙,Sann-tiâu-lūn | Saⁿ-tiâu-lūn,三條崙（Sann-tiâu-lūn | Saⁿ-tiâu-lūn）,FALSE
三貂嶺,三貂嶺,Sam-tiau-niá,Sam-tiau-niá,三貂嶺,Sam-tiau-niá,三貂嶺（Sam-tiau-niá）,FALSE
三塊厝,,,Saⁿ-tè-chhù,三塊厝,Saⁿ-tè-chhù,三塊厝（Saⁿ-tè-chhù）,FALSE
三塊厝,,Sann-tè-tshù,Saⁿ-tè-chhù,三塊厝,Sann-tè-tshù | Saⁿ-tè-chhù,三塊厝（Sann-tè-tshù | Saⁿ-tè-chhù）,FALSE
三會脚,三會跤,Sann-huē-kha,Saⁿ-hōe-kha,三會跤,Sann-huē-kha | Saⁿ-hōe-kha,三會跤（Sann-huē-kha | Saⁿ-hōe-kha）,FALSE
三義,三義,Sam-gī,Sam-gī,三義,Sam-gī,三義（Sam-gī）,FALSE
三義鄉,,,Sam-gī-hiong,三義鄉,Sam-gī-hiong,三義鄉（Sam-gī-hiong）,FALSE
三福街,三福街,Sann-hok-kue,Saⁿ-hok-koe,三福街,Sann-hok-kue | Saⁿ-hok-koe,三福街（Sann-hok-kue | Saⁿ-hok-koe）,FALSE
三福街4巷,三福街4巷,Sann-hok-kue 4-hāng,Saⁿ-hok-koe 4-hāng,三福街4巷,Sann-hok-kue 4-hāng | Saⁿ-hok-koe 4-hāng,三福街4巷（Sann-hok-kue 4-hāng | Saⁿ-hok-koe 4-hāng）,TRUE
三福街5巷,三福街5巷,Sann-hok-kue 5-hāng,Saⁿ-hok-koe 5-hāng,三福街5巷,Sann-hok-kue 5-hāng | Saⁿ-hok-koe 5-hāng,三福街5巷（Sann-hok-kue 5-hāng | Saⁿ-hok-koe 5-hāng）,TRUE
三福街74巷,三福街74巷,Sann-hok-kue 74-hāng,Saⁿ-hok-koe 74-hāng,三福街74巷,Sann-hok-kue 74-hāng | Saⁿ-hok-koe 74-hāng,三福街74巷（Sann-hok-kue 74-hāng | Saⁿ-hok-koe 74-hāng）,TRUE
三福街9巷,三福街9巷,Sann-hok-kue 9-hāng,Saⁿ-hok-koe 9-hāng,三福街9巷,Sann-hok-kue 9-hāng | Saⁿ-hok-koe 9-hāng,三福街9巷（Sann-hok-kue 9-hāng | Saⁿ-hok-koe 9-hāng）,TRUE
三層埔,三層埔,Sann-tsân-poo,Saⁿ-chân-po͘,三層埔,Sann-tsân-poo | Saⁿ-chân-po͘,三層埔（Sann-tsân-poo | Saⁿ-chân-po͘）,FALSE
三潭國小,,,Sam-thâm-kok-sió,三潭國小,Sam-thâm-kok-sió,三潭國小（Sam-thâm-kok-sió）,FALSE
三興國小(臨江街觀光夜市),三興國小(臨江街觀光夜市),Sam-hing Kok-sió(Lîm-kang-kue Kuan-kong Iā-tshī),Sam-heng Kok-sió(Lîm-kang-koe Koan-kong Iā-chhī),三興國小(臨江街觀光夜市),Sam-hing Kok-sió(Lîm-kang-kue Kuan-kong Iā-tshī) | Sam-heng Kok-sió(Lîm-kang-koe Koan-kong Iā-chhī),三興國小(臨江街觀光夜市)（Sam-hing Kok-sió(Lîm-kang-kue Kuan-kong Iā-tshī) | Sam-heng Kok-sió(Lîm-kang-koe Koan-kong Iā-chhī)）,TRUE
三興國小,三興國小,Sann-hing Kok-sió,Saⁿ-heng Kok-sió,三興國小,Sann-hing Kok-sió | Saⁿ-heng Kok-sió,三興國小（Sann-hing Kok-sió | Saⁿ-heng Kok-sió）,FALSE
三豐,三豐,Sann-hong,Saⁿ-hong,三豐,Sann-hong | Saⁿ-hong,三豐（Sann-hong | Saⁿ-hong）,FALSE
三鶯部落,,,Sam-ing-pōo-lo̍k,三鶯部落,Sam-ing-pōo-lo̍k,三鶯部落（Sam-ing-pōo-lo̍k）,FALSE
三欉竹,三欉竹,Sann-tsâng-tik,Saⁿ-châng-tek,三欉竹,Sann-tsâng-tik | Saⁿ-châng-tek,三欉竹（Sann-tsâng-tik | Saⁿ-châng-tek）,FALSE
三灣鄉,,,Sam-oan-hiong,三灣鄉,Sam-oan-hiong,三灣鄉（Sam-oan-hiong）,FALSE
上坪溪,上坪溪,Siōng-pîng-khue,Siōng-pêng-khoe,上坪溪,Siōng-pîng-khue | Siōng-pêng-khoe,上坪溪（Siōng-pîng-khue | Siōng-pêng-khoe）,FALSE
上店子,,,Siōng-tiàm-á,上店子,Siōng-tiàm-á,上店子（Siōng-tiàm-á）,FALSE
上埤頭,,,Siōng-pi-thâu,上埤頭,Siōng-pi-thâu,上埤頭（Siōng-pi-thâu）,FALSE
上磺溪橋,,,Chhiūⁿ-hông-khe-kiô,上磺溪橋,Chhiūⁿ-hông-khe-kiô,上磺溪橋（Chhiūⁿ-hông-khe-kiô）,FALSE
下土城,下土城,Ē-thóo-siânn,Ē-thó͘-siâⁿ,下土城,Ē-thóo-siânn | Ē-thó͘-siâⁿ,下土城（Ē-thóo-siânn | Ē-thó͘-siâⁿ）,FALSE
下內埔,下內埔,Ē-lâi-poo,Ē-lāi-poo,下內埔,Ē-lâi-poo | Ē-lāi-poo,下內埔（Ē-lâi-poo | Ē-lāi-poo）,FALSE
下庄,下庄仔,Ē-tsng-á,Ē-chng-á,下庄仔,Ē-tsng-á | Ē-chng-á,下庄仔（Ē-tsng-á | Ē-chng-á）,FALSE
下秀朗,下秀朗,Ē-siù-lóng,Ē-siù-lóng,下秀朗,Ē-siù-lóng,下秀朗（Ē-siù-lóng）,FALSE
下坪林,下坪林,Ē-pênn-nâ,Ē-pêⁿ-nâ,下坪林,Ē-pênn-nâ | Ē-pêⁿ-nâ,下坪林（Ē-pênn-nâ | Ē-pêⁿ-nâ）,FALSE
下城,下城,Ē-siânn,Ē-siâⁿ,下城,Ē-siânn | Ē-siâⁿ,下城（Ē-siânn | Ē-siâⁿ）,FALSE
下崁,,,Ē-khàm,下崁,Ē-khàm,下崁（Ē-khàm）,FALSE
下草埔,下草埔,E-tsháu-poo,E-chháu-po͘,下草埔,E-tsháu-poo | E-chháu-po͘,下草埔（E-tsháu-poo | E-chháu-po͘）,FALSE
下埤頭,下埤頭,Ē-pi-thâu,E-pi-thâu,下埤頭,Ē-pi-thâu | E-pi-thâu,下埤頭（Ē-pi-thâu | E-pi-thâu）,FALSE
下崙尾,下崙尾,Hā-lūn-bué,Hā-lūn-bóe,下崙尾,Hā-lūn-bué | Hā-lūn-bóe,下崙尾（Hā-lūn-bué | Hā-lūn-bóe）,FALSE
下塊黃,下塊黃,Ē-tè-n̂g,Ē-tè-n̂g,下塊黃,Ē-tè-n̂g,下塊黃（Ē-tè-n̂g）,FALSE
下塊廖,下塊廖,Ē-tè-liāu,Ē-tè-liāu,下塊廖,Ē-tè-liāu,下塊廖（Ē-tè-liāu）,FALSE
下塔悠,下塔悠,Ē-tah-iu,Ē-tah-iu,下塔悠,Ē-tah-iu,下塔悠（Ē-tah-iu）,FALSE
下溪洲,下溪洲,Ē-khue-tsiu,Ē-Khoe-chiu,下溪洲,Ē-khue-tsiu | Ē-Khoe-chiu,下溪洲（Ē-khue-tsiu | Ē-Khoe-chiu）,FALSE
