name,name:nan-HJ,name:nan-TL,name:nan-POJ,name:nan-HJ || name,name:nan-TL | name:nan-POJ,name:nan-HJ || name（name:nan-TL | name:nan-POJ）,Include numbers or ()
萬壽路三段,萬壽路三段,Bān-siū-lōo 3-tuānn,Bān-siū-lō͘ 3-tōaⁿ,萬壽路三段,Bān-siū-lōo 3-tuānn | Bān-siū-lō͘ 3-tōaⁿ,萬壽路三段（Bān-siū-lōo 3-tuānn | Bān-siū-lō͘ 3-tōaⁿ）,TRUE
萬寧街,萬寧街,Bān-lîng-kue,Bān-lêng-koe,萬寧街,Bān-lîng-kue | Bān-lêng-koe,萬寧街（Bān-lîng-kue | Bān-lêng-koe）,FALSE
萬榮,萬榮,Bān-îng,Bān-êng,萬榮,Bān-îng | Bān-êng,萬榮（Bān-îng | Bān-êng）,FALSE
萬榮鄉,,,Bān-êng-hiong,萬榮鄉,Bān-êng-hiong,萬榮鄉（Bān-êng-hiong）,FALSE
萬福國小,萬福國小,Bān-hok Kok-sió,Bān-hok Kok-sió,萬福國小,Bān-hok Kok-sió,萬福國小（Bān-hok Kok-sió）,FALSE
萬巒鄉,,,Bân-bân-hiong,萬巒鄉,Bân-bân-hiong,萬巒鄉（Bân-bân-hiong）,FALSE
窟仔底,窟仔底,Khut-á-té,Khut-á-té,窟仔底,Khut-á-té,窟仔底（Khut-á-té）,FALSE
窟仔墘,窟仔墘,Khut-á-kînn,Khut-á-kîⁿ,窟仔墘,Khut-á-kînn | Khut-á-kîⁿ,窟仔墘（Khut-á-kînn | Khut-á-kîⁿ）,FALSE
景腳,筧跤,Kíng-kha,Kéng-kha,筧跤,Kíng-kha | Kéng-kha,筧跤（Kíng-kha | Kéng-kha）,FALSE
,經貿園區,King-bōo Hn̂g-khu,,經貿園區,King-bōo Hn̂g-khu,經貿園區（King-bōo Hn̂g-khu）,FALSE
義方國小,,,Gī-hn̄g-kok-sió,義方國小,Gī-hn̄g-kok-sió,義方國小（Gī-hn̄g-kok-sió）,FALSE
義竹鄉,,,Gī-tek-hiong,義竹鄉,Gī-tek-hiong,義竹鄉（Gī-tek-hiong）,FALSE
義重町,,,Gi-tiōng-ting,義重町,Gi-tiōng-ting,義重町（Gi-tiōng-ting）,FALSE
聖人橋,,,Sèng-jîn-kiô,聖人橋,Sèng-jîn-kiô,聖人橋（Sèng-jîn-kiô）,FALSE
,聖帝廟/文武聖殿,Sìng-tè-biō/Bûn-bú Sìng-tiān,,聖帝廟/文武聖殿,Sìng-tè-biō/Bûn-bú Sìng-tiān,聖帝廟/文武聖殿（Sìng-tè-biō/Bûn-bú Sìng-tiān）,FALSE
聖景路,,,Sèng-kéng-lō͘,聖景路,Sèng-kéng-lō͘,聖景路（Sèng-kéng-lō͘）,FALSE
萱野,萱野,Suan-iá,Soan-iá,萱野,Suan-iá | Soan-iá,萱野（Suan-iá | Soan-iá）,FALSE
,葫洲,Oô-tsiu,,葫洲,Oô-tsiu,葫洲（Oô-tsiu）,FALSE
蜈蚣牙,蜈蚣牙,Giâ-kang-gê,Giâ-kang-gê,蜈蚣牙,Giâ-kang-gê,蜈蚣牙（Giâ-kang-gê）,FALSE
路竹,路竹,Lōo-tik,Lō͘-tek,路竹,Lōo-tik | Lō͘-tek,路竹（Lōo-tik | Lō͘-tek）,FALSE
路竹區,,,Lō͘-tek-khu,路竹區,Lō͘-tek-khu,路竹區（Lō͘-tek-khu）,FALSE
農安街,,Lông-an-ke,Lông-an-ke,農安街,Lông-an-ke,農安街（Lông-an-ke）,FALSE
農豐街,,Khìng-hong-ke,Khìng-hong-ke,農豐街,Khìng-hong-ke,農豐街（Khìng-hong-ke）,FALSE
過田仔,,,Kuè-tshân-á,過田仔,Kuè-tshân-á,過田仔（Kuè-tshân-á）,FALSE
過圳,過圳,Kuè-tsùn,kòe-chùn,過圳,Kuè-tsùn | kòe-chùn,過圳（Kuè-tsùn | kòe-chùn）,FALSE
道南橋,,Tō-lâm-kiô,Tō-lâm-kiô,道南橋,Tō-lâm-kiô,道南橋（Tō-lâm-kiô）,FALSE
達仁鄉,,,Ta̍t-jîn-hiong,達仁鄉,Ta̍t-jîn-hiong,達仁鄉（Ta̍t-jîn-hiong）,FALSE
隘口尾,隘口尾,Ài-káu-bé,Ài-káu-bé,隘口尾,Ài-káu-bé,隘口尾（Ài-káu-bé）,FALSE
隘寮,隘寮,Ài-liâu,Ài-liâu,隘寮,Ài-liâu,隘寮（Ài-liâu）,FALSE
隘寮北溪,隘寮北溪,Ài-liâu-pak-khe,Ài-liâu-pak-khe,隘寮北溪,Ài-liâu-pak-khe,隘寮北溪（Ài-liâu-pak-khe）,FALSE
隘寮坑,隘寮坑,Ài-liâu-khinn,Ài-liâu-khiⁿ,隘寮坑,Ài-liâu-khinn | Ài-liâu-khiⁿ,隘寮坑（Ài-liâu-khinn | Ài-liâu-khiⁿ）,FALSE
隘寮溪,隘寮溪,Ài-liâu-khe,Ài-liâu-khe,隘寮溪,Ài-liâu-khe,隘寮溪（Ài-liâu-khe）,FALSE
雷隱橋,,,Lûi-ún-kiô,雷隱橋,Lûi-ún-kiô,雷隱橋（Lûi-ún-kiô）,FALSE
鼎筆橋,,,Tiáⁿ-pit-kiô,鼎筆橋,Tiáⁿ-pit-kiô,鼎筆橋（Tiáⁿ-pit-kiô）,FALSE
鼎興橋,,,Tiáⁿ-hèng-kiô,鼎興橋,Tiáⁿ-hèng-kiô,鼎興橋（Tiáⁿ-hèng-kiô）,FALSE
鼓山,鼓山,Kóo-san,Kó͘-san,鼓山,Kóo-san | Kó͘-san,鼓山（Kóo-san | Kó͘-san）,FALSE
鼓山區,,,Kó͘-san-khu,鼓山區,Kó͘-san-khu,鼓山區（Kó͘-san-khu）,FALSE
,鼓山區公所,Kóo-san khu-kong-sóo,,鼓山區公所,Kóo-san khu-kong-sóo,鼓山區公所（Kóo-san khu-kong-sóo）,FALSE
嘉北,嘉北,Ka-pak,Ka-pak,嘉北,Ka-pak,嘉北（Ka-pak）,FALSE
嘉南藥理大學,嘉南藥理大學,Ka-lâm Io̍h-lí Ha̍k-īnn,Ka-lâm Io̍h-lí Ha̍k-īⁿ,嘉南藥理大學,Ka-lâm Io̍h-lí Ha̍k-īnn | Ka-lâm Io̍h-lí Ha̍k-īⁿ,嘉南藥理大學（Ka-lâm Io̍h-lí Ha̍k-īnn | Ka-lâm Io̍h-lí Ha̍k-īⁿ）,FALSE
嘉義,嘉義,Ka-gī,Ka-gī,嘉義,Ka-gī,嘉義（Ka-gī）,FALSE
嘉義市,嘉義市,Ka-gī-tshī,Ka-gī-chhī,嘉義市,Ka-gī-tshī | Ka-gī-chhī,嘉義市（Ka-gī-tshī | Ka-gī-chhī）,FALSE
嘉義縣,嘉義縣,Ka-gī-kuān,Ka-gī-koān,嘉義縣,Ka-gī-kuān | Ka-gī-koān,嘉義縣（Ka-gī-kuān | Ka-gī-koān）,FALSE
嘉興街,,,Ka-hing-ke,嘉興街,Ka-hing-ke,嘉興街（Ka-hing-ke）,FALSE
,壽山公園,Siū-san Kong-hn̂g,,壽山公園,Siū-san Kong-hn̂g,壽山公園（Siū-san Kong-hn̂g）,FALSE
壽豐,壽豐,Siū-hong,Siū-hong,壽豐,Siū-hong,壽豐（Siū-hong）,FALSE
壽豐鄉,,,Siū-hong-hiong,壽豐鄉,Siū-hong-hiong,壽豐鄉（Siū-hong-hiong）,FALSE
壽豐溪(知亞干溪),壽豐溪,Siū-hong-khe,Siū-hong-khe,壽豐溪,Siū-hong-khe,壽豐溪（Siū-hong-khe）,FALSE
,夢時代,Bāng-sî-tāi,,夢時代,Bāng-sî-tāi,夢時代（Bāng-sî-tāi）,FALSE
寧波西街,寧波西街,Lîng-pho Sai-kue,Lêng-pho Sai-koe,寧波西街,Lîng-pho Sai-kue | Lêng-pho Sai-koe,寧波西街（Lîng-pho Sai-kue | Lêng-pho Sai-koe）,FALSE
寧波東街,寧波東街,Lîng-pho Tang-kue,Lêng-pho Tang-koe,寧波東街,Lîng-pho Tang-kue | Lêng-pho Tang-koe,寧波東街（Lîng-pho Tang-kue | Lêng-pho Tang-koe）,FALSE
寧夏路,寧夏路,Lîng-hā-lōo,Lêng-hā-lō͘,寧夏路,Lîng-hā-lōo | Lêng-hā-lō͘,寧夏路（Lîng-hā-lōo | Lêng-hā-lō͘）,FALSE
彰化,彰化,Tsiong-huà,Chiong-hòa,彰化,Tsiong-huà | Chiong-hòa,彰化（Tsiong-huà | Chiong-hòa）,FALSE
彰化市,,,Chiong-hoà-chhī,彰化市,Chiong-hoà-chhī,彰化市（Chiong-hoà-chhī）,FALSE
彰化銀行,彰化銀行,Tsiong-huà Gîn-hâng,Chiong-hòa Gîn-hâng,彰化銀行,Tsiong-huà Gîn-hâng | Chiong-hòa Gîn-hâng,彰化銀行（Tsiong-huà Gîn-hâng | Chiong-hòa Gîn-hâng）,FALSE
彰化縣,彰化縣,Tsiong-huà-kuān,Chiong-hòa-koān,彰化縣,Tsiong-huà-kuān | Chiong-hòa-koān,彰化縣（Tsiong-huà-kuān | Chiong-hòa-koān）,FALSE
旗山區,,,Kî-san-khu,旗山區,Kî-san-khu,旗山區（Kî-san-khu）,FALSE
旗山溪,旗山溪,Kî-san-khe,Kî-san-khe,旗山溪,Kî-san-khe,旗山溪（Kî-san-khe）,FALSE
旗津區,旗津區,Kî-tin-khu,Kî-tin-khu,旗津區,Kî-tin-khu,旗津區（Kî-tin-khu）,FALSE
榮星花園公園,榮星花園公園,Îng-tshínn Hue-hn̂g Kong-hn̂g,Êng-chhiⁿ Hoe-hn̂g Kong-hn̂g,榮星花園公園,Îng-tshínn Hue-hn̂g Kong-hn̂g | Êng-chhiⁿ Hoe-hn̂g Kong-hn̂g,榮星花園公園（Îng-tshínn Hue-hn̂g Kong-hn̂g | Êng-chhiⁿ Hoe-hn̂g Kong-hn̂g）,FALSE
榮泰厝,榮泰厝,Îng-thài-tshù,Êng-thài-chhù,榮泰厝,Îng-thài-tshù | Êng-thài-chhù,榮泰厝（Îng-thài-tshù | Êng-thài-chhù）,FALSE
榮華公園,,,êng-hoa-kong-hn̂g,榮華公園,êng-hoa-kong-hn̂g,榮華公園（êng-hoa-kong-hn̂g）,FALSE
貢寮,槓仔寮,Khōng-á-liâu,Khōng-á-liâu,槓仔寮,Khōng-á-liâu,槓仔寮（Khōng-á-liâu）,FALSE
滴水,滴水,Tih-tsuí,Tih-chúi,滴水,Tih-tsuí | Tih-chúi,滴水（Tih-tsuí | Tih-chúi）,FALSE
滿州鄉,,,Boán-chiu-hiong,滿州鄉,Boán-chiu-hiong,滿州鄉（Boán-chiu-hiong）,FALSE
漁人 Iratay,,,Hî-lîn,漁人 Iratay,Hî-lîn,漁人 Iratay（Hî-lîn）,FALSE
漁港,,,Hû-káng,漁港,Hû-káng,漁港（Hû-káng）,FALSE
