name,description
和平龍泉街口,和平東路一段178號(前側)(鄰近臺灣師範大學)
福和國中停車場,永亨路99號(對向人行道)
新莊勞工中心,新樹路222號
十八尖山(新竹高商),新竹市東區博愛街5巷2號對面停車場
新竹棒球場,新竹市北區民富街141號對面人行道
虎林棒球場,新竹市東區延平路一段541號對面人行道
上德公園,智惠街/上石路口
稻香重三路口,稻香路 / 稻香路43巷口(西北側)
重慶民族路口,重慶北路三段154號(前方/東側)
南京新生路口,新生北路一段 / 南京東路一段口(橋墩下方)(鄰近林森公園/康樂公園)
陽光街321巷口,陽光街321巷 / 陽光街口(南側)
錦州吉林路口,錦州街162號前方
陽明大學,東華街二段136號(南側)
松德虎林街口,松德路71號前方
麗湖國小,金湖路363巷5號對側
臺北市網球中心,民權東路六段/民權東路六段210巷口(西南側)
南京東興路口,南京東路五段 / 東興路口(北側)
迪化休閒運動公園,延平北路四段200號(南側)
景華街128巷口,景華街126號前方
南門國中,廣州街8巷/廣州街口(東南側)
合心廣場,玉成街80號(對面)
和平敦化路口,和平東路三段 / 敦化南路二段口(東側)
民生建國路口,民生東路三段 / 建國北路二段口
松友公園,信義路六段76巷2弄16號(南側)
新明成功路口,新明路/成功路二段口(西南側)
五股郵局,凌雲路一段80巷9號(對面人行道)
新店新和國小,安和路三段113號(對面人行道)
瑞芳火車站,民權路鐵道巷14號(東側機車停車場)
光復國小,長壽街168號(對面人行道)
土城國中,永寧路18號(對面)
安光公園,安民街安民街3巷15號(對面公園)
福美公園,福美街/福美街62巷口(西北側人行道)
中和青年社會住宅,景德街7號
捷運紅樹林站,淡水區中正東路2段68號(南向廣場)
光明市場,光明路67-1號(對面)
名利橋,仁愛路352巷96號(對面廣場)
立德青雲路口,立德路2號(對面)
浮洲火車站,板橋區僑中二街/大觀路一段38巷(自行車停放區內)
捷運府中站(2號出口),府中路5號(後方人行道)(鄰近板橋慈惠宮/府中商圈(板橋後站商圈))
世貿國家公園社區,長江路101號(對面)
蘆洲李宅古蹟,中正路185巷68弄9號(對面人行道)(鄰近蘆洲李宅(李友邦將軍紀念館))
工建樟樹一路口,工建路50 號(對面路側)
龍形停車場,龍米路一段318號(對面停車場)
安強公園,虎林街212巷58號(西南側)
豐原高中,水源路/水源路129巷口
第一市場,民生路130號對面
龍潭行政園區,中興路681號對面人行道
南榮公園,南平街洛陽街口南側公園旁人行道
大勇國小,忠勇街373號對面人行道
同福公園,和義街50號對面人行道
民俗文化公園,上海路及上海路119巷口西南側廣場
紫雲宮,自忠二街126號對面停車場
獅子林社區活動中心,大智街88號對面
經國國中,經國路276號(面經國國中校門左側人行道)
楊梅國中,校前路86號對面人行道
楊明國中,新農街337號(面楊明國中左側人行道)
楊梅火車站(前站),大成路256號(火車站前方人行道)
和盛公園,大和路101號對面公園側人行道
會稽國中,大興路222號(面會稽國中校門左側人行道)
玉山公園,南豐二街120號斜前方公園側
家樂福經國店,天祥三街10號對面人行道
霖園兒童公園,國鼎二街132號(對面公園東側人行道)
大同西路簡易公園,大同西路7巷4號對面公園
萬壽中興路口,萬壽路二段981號對面停車場
龍和公園,龍和三街290號(活動中心旁公園人行道)
晉元路仁德一街口,仁德一街28-4號對面路側
平鎮和平公園,莒光路39號對面路側
建新公園,陽明十二街25號對面公園旁人行道
桃園中正公園(同安街),同安街601號旁公園人行道
大竹國小,南竹路五段271號對面人行道
五福停車場,五福一路120號對面人行道
桃園酒廠,文化一路55號前方人行道
迴龍國中小,萬壽路一段168號前方人行道
烏日國小,平等路/憬學街口
陽明大樓,陽明街/陽明街66巷口
新竹市文化局,新竹市北區東大路二段15巷1號前人行道
風禾公園,文中二路慈文路口東北側人行道
清華大學(台達館),新竹市東區光復路二段101號(南側)
大雅公園,中清路三段1132巷/中清路三段口
三重高中,集美街217號(對面)
大智公園,大同北路56號(對面)
藍天大樓,興德路129號(旁)
林本源園邸,文昌街24巷1號(對面)
鳳鳴國小,永和街120號(校門前)
明德高中,中正路二段/中正路二段395巷口
萬板文聖街口,萬板文聖街口
碧河宮,連城路/連城路261巷口
環河西路一段95巷口,環河西路一段/環河西路一段95巷(人行道)
海山高中,漢生東路215號(右側人行道)
雙和橋,中山路二段3巷2號(對面公園)
三光國小(金滿意),大同南路246-1號(對面人行道)
華江一華江九路口,華江一路/華江九路口(東南側人行道)
江翠國小,文化路二段413號(校門右側人行道)
中興北街42巷17弄,中興北街42巷17弄8號旁
成州國小,成泰路三段493號(東側)
大崙公園,南勢二街408號旁
民義公園,五福路五福路6巷口(五福橋旁公園)
樹林大安站,大安路118號(外側)
碧潭西岸,碧潭路2號(旁)(鄰近碧潭風景區)
公五公園,芳州五路/芳州二路口(東北側)
福和橋,環河東路三段90號前
鳳祥公園,鶯桃路413巷65弄4號(對面)
學成公園,學成路/學成路76巷口
湳雅觀光夜市(津渡橋),南雅西路一段152號(對面)(鄰近板橋接雲寺)
國泰街111巷口,國泰街111巷1號(對面)
捷運中原站,板南路496號(對面)
民族延平路口,民族西路 310 號前方
捷運內湖站(1號出口),成功路四段182巷 / 成功路四段182巷6弄口(東南側)
下灣公園,民權東路六段206巷 / 民權東路六段190巷75弄口
聯合醫院陽明院區,雨聲街105號(南側)
劍潭海外青年活動中心,通河街 / 通河街2巷(南側)(鄰近圓山大飯店/劍潭公園)(鄰近芝山岩/芝山巖惠濟宮/芝山文化生態綠園)
新東街51巷口,三民路 / 新東街51巷口(東側)(鄰近松山親子館)
臺灣戲曲中心,文林路751號(南側)(鄰近臺灣戲曲中心)
常樂公園,文化二路237-243號旁公園人行道
山福里集會所,中興路152號旁停車場
華愛兒童公園,華愛街35號對面公園旁人行道
桃園觀光夜市旅客服務中心,正康三街8號旁停車場
過嶺國中,松智路過嶺路一段路口人行道
中豐坤慶路口,坤慶路1號前方人行道
金鋒太子,金鋒四街50巷2號對面
桃禧航空城酒店,大觀路777號(桃禧航空城酒店園航路側人行道)
廣南停車場,環南路二段11號旁人行道
大園國際高中,大成路二段37號對面人行道
中興環保公園,大興四街61巷及大興四街路口公園內
上海南京路口,上海路227號旁人行道
工四工業區(頂湖路),頂湖路33號(面工廠大門左側人行道)
文修公園,福星路/烈美街口
崑山科大站,崑山科技大學(東側人行道)
鹿港鎮公所,民權路與忠孝路口(公所大樓左側機車格)
民生縣民大道口,民生路二段/縣民大道二段口(西南側)
學成大成路口,學成路712號(旁)
文德國小(公館街),公館街258號(對面)
穀保家商,疏洪東路三段/中正北路560巷口(鄰近二重環狀自行車道)
國際二國際一路口,國際二路/國際一路口
捷運新店區公所站(1號出口),中華路3號(對面)(鄰近馬公友誼公園)
蘆洲中路公園,光華路87巷7號(右側)
新北市客家文化園區,隆恩街239號(右側)
福和路7巷口,福和路/福和路7巷口
新泰游泳池,新泰路478號(對面)(鄰近新莊文化藝術中心)
光復高中,長壽街/光環路一段(西南側)
馥華公園,僑中二街118號前
昌平公園,中央路/福壽街口
忠孝國中,成都街30號(右側)
南亞技術學院,中山東路三段414號內機車停車場
陸光河濱公園,同心二路19號對面公園內人行道
國立中興大學(中興湖),中興路/弘道路口(國立中興大學(中興湖))
廣停二停車場,民富街99號(對面)
龍恩公園,國際一街90號(對面)(鄰近國立台北大學)
新和活動中心,新和街116巷5弄(街尾)
廣福派出所,學府路一段86號前
四維公園地下停車場,四維路177巷3弄6號(旁)
新北市藝文中心(文化路二段124巷),文化路二段124巷32號(對面)(鄰近新北市藝文中心)
石雕公園,吳鳳路50巷36號(旁)(鄰近石雕公園/板橋農村公園)
南雅育智路口,南雅路491號(對面)
森林公園,學勤路382號(對面)
三樺公園,大同路二段129巷/大仁南街37巷
臺北大學(資訊中心),大學路151號(資訊中心旁)
海洋公園,大義路/學勤路口(西北側)
圓通路335巷33弄,圓通路335巷33弄15號(西側)
金城裕民路口(中正國中),金城路二段218號(對面)
新北市工商展覽中心,五工六路35號(對面)
台北海洋科技大學,濱海路三段150號(校門左側)
文山國中,北宜路一段118號(對面)(鄰近碧潭風景區)
新市一路一段99巷口,新市一路一段99巷21號
浮洲合宜住宅(合宜一路),大觀路二段265巷/合宜一路(東南側)
忠愛公園,金陵路二段454巷18號旁公園
南方莊園,樹籽路8號對面停車場旁人行道
財政部北區國稅局桃園分局,三元街150號
大檜溪公園,興一街65巷50號(地下停車場出入口旁公園)
溫州公園,大興西路二段139巷173號旁公園人行道
頭前國小,頭前路93號(對面)
捷運景平站,景平路127號(旁)
山北公園,莊敬路33巷36弄2號(對面)
碧潭渡船頭,新店路36號(對面)
板橋重慶公園,重慶路276號(對面)
新北市勞工活動中心,五工六路9號(前廣場)
新莊田徑場,復興路一段209號 (對面)
崇德國小,茄苳路183號(對面)
山佳火車站,中山路三段108號
新泰國中,新泰路359號(旁)
中央造幣廠,振興路577號前方人行道
楓樹公園,楓樹一街19號對面公園
文化花園夜市,龜山一路168號旁公園
觀音高中,文中路46號對面人行道
大園國中,園科路400號前人行道
大雅國中,學府路/學府路市場巷口
大庄國小,新竹市香山區大庄路46號(北側)
新竹動物園,新竹市東區博愛街111號(南側)人行道
林口社區運動公園(公園路),公園路192號(旁)
林口高中,仁愛路二段173號(對面)
環河公園,南雅西路二段301巷41弄5-5號(旁)
員和公園,中央路二段66號(對面)
積穗國中,民安街71號(對面)
大眾廟,中正路82號(旁)
時光公園,華江陸橋旁/文化路二段北側公園口
化成公園,思源路166巷4號(前)
縣民漢生東路口,縣民大道二段112號(前)
忠孝活動中心,忠孝街26巷8號(前)(鄰近楊三郎美術館)
中華中央路一段242巷口,中華路一段185號(前)
國軍桃園總醫院,中興路179號對面人行道
埔頂公園,仁善街102號對面停車場內
元聖宮,東泰街2號旁空地
華勛公園,華仁街68巷34號對面公園
大溪河濱公園,瑞興段2407地號內停車格
育英國小,光明街31號(面對育英國小校門口左側)
鹿港鎮立圖書館,公園路三路83號(機車停車場左側)
三多公園,中山路二段(特力屋旁公園)
老人文康活動中心,惠明街18巷公園草地(老人會館)
員林郵局,林森路調解委員會對面
鹿港國小,三民路192號(南側人行道)
文開國小(天后宮停車場),復興南路與民生路口
至善公園,至平街靠近福榮街(至善公園)旁
鹿港頂厝公園,鹿興路47號(對面人行道上)
彰化地方法院,中山路-二段與法院南街交叉路口(法院圍牆旁)
福興第一停車場,復興路120號對面停車場人行道
鹿東國小,民主街與自治街口
泰山停車場,浮圳路二段/大仁南街口
鹿港高中,中山路596號對面
復興南三民路口(摸乳巷),復興路與三民路交叉路口
彰化秀傳醫院,中山路一段/中山路一段556巷口
員林分局,大同路一段與和平東街交叉路口
鹿港運動場(勞工教育學苑),建國路與中正路口
員林國小,大同路一段與三民東街交叉處
彰化縣衛生局,中山路二段/中山路二段158巷口
忠孝國小,忠誠路/孝德街口
員林演藝廳,中正路2巷99號左側
鹿港分局,東興路295號對面人行道
員林農工,員水路二段全家對面
鹿港文武廟,彰鹿路八段(文武廟前停車場)
崇實高工,和平東街102號對面
海安正興站,海安路二段與正興街交叉口(北側人行道)
高鐵台南站,武當路與歸仁十二路交叉口(西北側人行道)
大明公園,興隆街2號對面公園
青塘園,洽溪路133號對面公園人行道
伯公岡公園,民生街101號對面公園
龍安公園,國豐七街122號對面公園
大江購物中心,中園路二段501號前方人行道
平鎮魚形公園,清泉街49-53號旁公園內
中山親水公園,新農街80號旁公園內
捷運府中站(1號出口),縣民大道一段/府中路口(西南側)(鄰近板橋慈惠宮/府中商圈(板橋後站商圈))
蘭庭序大廈,汐萬路一段201號前
潭子火車站,潭興路二段/中山路二段口
淡水海關碼頭園區,中正路261號(旁)(鄰近淡水紅毛城/淡水英國領事館/淡水海關碼頭)
新莊國民運動中心,公園路66號(對面)(鄰近新莊綜合運動場)
中港大排願景館,中央路301號(對面)
中興中正路口,中興路二段41號(前)
輕軌淡金北新站,淡金路一段547號(前)
青埔國小,新生路四段127號對面人行道
茄明里集會所,中華路27號外側人行道
竹風青田,永園路一段130號前方人行道
大魯閣(中正路),中正北路2巷16號對面廣場
美光晶圓公司,復興三路667號前方人行道
內厝社區活動中心,中正路四段112號前方路側
仁和國小,仁和二街50號旁人行道
龍岡圓環,龍東路龍岡路三段路口
龍安國小,文中路一段35號
永定二保定三街89巷口,永定二街保定三街89巷口公園內
豐德公園,豐田一路87號對面公園
八德霖園公園,介壽路一段16巷73號旁公園人行道
成功國小,中正三街與長春路口
義興公園,義興街55號對面公園人行道
中德里市民活動中心,國際路一段與國際路一段678巷口
兒九公園,致遠街致維街口公園內
富岡車站,成功路58號斜對面廣場
建德公園,長興路61號對面公園
新福大新一街口,新福街125-127號對面
向陽公園,正光路186巷50號對面人行道
山仔頂公園,自由街57號對面公園
至善綠園,龍昌路32號對面公園
普忠路770巷口,普忠路605號對面人行道
公七公園,青商路288-298斜對面公園內
龍岡大操場,龍岡路三段游泳路口旁公園人行道
尚順廣場,中央路130號對面人行道
苗栗客運頭份站,日新街25號(面大門左側人行道)
國家衛生研究院,科研路35號(二號出口旁人行道)
建國路(龍鳳宮),建國路356巷西北側街口
北苗康園,為公路236號對面人行道
南苗大同國小,大同路20巷3號旁人行道
玉清宮,為民街30-6號外人行道
苗栗市公所,府前路76號旁人行道
苗栗縣立圖書館,自治路口英才路口西北側人行道
苗栗高中,至公路183號(校門口對面人行道)
苗栗農工,玉維路/玉清路380巷口
苗栗火車站(西站),英才路英明街口東南側人行道
苗栗火車站(東站),為公路8號前方
頭份運動公園,公園路26號對面人行道
為恭醫院,中央路11號前方人行道
頭份市公所,中山路232號前方路側
竹南博愛公園,文化街大業街口西北側人行道
苗北藝文中心,公園路206號對面人行道
中興商工,大營路211號(面校門右側路側)
竹南鎮公所,中正路112號前方
竹南火車站(西站),中山路125-1號對面廣場
竹南火車站(東站),維新路118號對面火車站前停車格
富春國小,豐西街/瑞安街口
石岡區公所,豐勢路1033號(北側)
高登公園,重慶路/漢成街口
泰安鐵道文化園區,福興路/安眉路口
五權西忠明南路口,五權西路一段/忠明南路口
圓環北大昌街口,圓環北路一段/大昌街口
東成東成二街口,東成路/東成二街口
大華國中,中清路三段/學府路口
民生英才路口,民生路/英才路口
大甲高工,開元路71號(西南側)
沙鹿高工,台灣大道七段/光華路口
新建國市場(1號門),樂業二路/建成路口
梧棲區公所,中和街/雲集街口
寶覺禪寺,健行路/金龍街口
臺中特殊教育學校,大觀路/公益路二段口
神岡高工,中山路/中山路652巷口
中山光華路口,中山路/光華路口
三民街停車場,三民街/中新街20巷口
旭光國小,健行路/榮泉路口
新社高中,中和街三段國中巷10號(北側)
塗城里活動中心,塗城路/塗成路33巷口
文昌國小,育德路/民生路口
何厝公園,台灣大道二段740巷2弄/何厝街6巷口
臺中至善公園,至善路/逢甲路253巷口
新泰安火車站,福安路/安眉路口
大肚火車站,華山路/平和街口
樂成宮,東光路/旱溪街口
文心南六大墩南路口,文心南六路/文心南六路171巷口
外埔國中,外埔路/水美路口
犁頭店公園,惠中路三段/大墩四街口
大安國小,中山南路/中山南路304巷口
新建國市場(5號門),進德路/建成路口
臺中市眷村文物館,天祥街/北屯路50巷1弄口
軍福公園,軍福十九路/軍榮五街口
四育國中,復興路二段/文林街口
北屯國小,國校巷/北興街口
東勢國小,三民街/中興街口
光德國中,信義街/僑仁街口
美術館園道,五權七街/五權西四街口
大弘公園,太原路一段/大弘六街口
外埔區公所,六分路/甲后路三段口
祥和公園,軍福七路/建和路一段口
秀泰廣場,南京路/自由三街口
后里運動公園,成功路/文明路口
屯區藝文中心,長安東路/長安路口
安和國中,天助街/中工三路口
潭秀國中,雅潭路一段/勝利路口
惠來停車場,惠來路二段/市政北一路口
北區國民運動中心,崇德路一段/美德街口
文心崇德路口,文心路四段/崇德路二段口
臺中市議會,市政北一路/惠文路口
圳前仁愛公園,中山路/中山路1720巷口
東光園大智路口,東光園路/大智路口
新社區公所,興社街二段28之1號(東側)
大明國小,中清路四段/雅環路三段口
順天國小,經國路/新美街口
慈濟公園,豐勢路一段/豐東路口
東光園振興路口,東光園路/振興路口
動態公園,大明二街/大德六街口
青海公園,四川五街/四川東街口
國安國小,東大路一段/國安一路口
梧棲國小,文化路二段/民生街口
文化公園,仁福街/文化街口
潭子聯合辦公大樓,豐興路二段/潭興路一段口
大源公園,大源十八街/環太東路口
社皮公園,西勢一街/社興五街口
光大公園,光大路/光華路口
東福公園,長福路/東英一街口
東新國小,勢林街/勢林街104巷口
三和派出所,三榮八路/三榮北一路口
北新國中,遼寧路一段/僑孝街110巷口
沙鹿區公所,鎮政路/鎮南路二段口
長青活動中心,水源路/甲東路口
中山路四平街口,中山路/四平街口
臺中火車站(復興路),復興路四段/復興路四段149巷口
大肚戶政事務所,華山路/沙田路三段口
龍井圖書館,觀光路/沙田路四段口
益民國小,益民路二段/益民路二段81巷口
日南火車站,中山路二段140巷口/中山路二段口
中壢仁德公園,崁頂路崁頂路1401巷口旁人行道
新屋區公所,中山路267巷1號對面路側
大仁里遊樂場,中華段 764地號
桃園市立圖書館山腳分館,山外路117號旁人行道
蘆竹區聯合辦公大樓,長安路二段與東溪路口
菓林國小,菓林里12鄰41號前方人行道
上興公園,上興路182號對面路側
國豐公園,龍鳳三街65巷2號對面公園
八德仁德公園,仁德路218號對面公園
溪濱公園,廣興二路廣興五街口旁公園
南崁溪自行車道(長壽路口),半嶺段 44地號
老街溪河川教育中心,中原路58號前方人行道
龍井火車站,龍新路/龍新路3巷口
海墘國小,大安港路/大安港路1079巷口
潭子環保公園,合作街38巷/合作街38巷76弄口
高工南和路口,高工路/南和路口
后里火車站,圳寮路/圳寮路160巷口
水安公園,文心路一段/大業路口
佳和公園(中山路二段64巷),中山路二段64巷7弄15-4號(對面)
三鶯國民運動中心,文化路164號(旁)(鄰近三峽清水祖師廟/三峽歷史文物館/三峽老街)
崇林國中,麗園路121號(對面)
苗栗地方法院,中正路中興街口東側人行道
環市延平路口,環市路三段186號前方人行道
中央八德一路口,中央路603號前方人行道
頭份市立游泳池,忠孝二路126號對面人行道
建國國小(合作街),力行街2-8號對面人行道
后庄國小(翠亨路),翠亨街12-1號對面人行道
蟠桃國小,中興路503號對面人行道
照南國小,光復路331號對面橋墩下
安康高中,安興路 25 號(前)
文中小停車場,名源街54號(對面)
陸光國宅,民義路1段/民義路1段183巷口
輕軌淡江大學站,淡金路二段399號(前人行道)
輕軌崁頂站,沙崙路二段/新市六路二段(東南側人行道)
輕軌淡海新市鎮站,沙崙路二段/新市三路二段口(東北側人行道)
輕軌濱海沙崙站,沙崙路一段/濱海路二段(東南側人行道)
清和里(青雲路),青雲路449號(對面)
成泰路一段(中油),成泰路一段194號(對面)
大觀路二段19巷,大觀路二段19巷115號(旁)
延吉街47巷口,延吉街43號(對面)
碧華公園(集勇街),仁安街2號(對面)
彩虹兒童公園,光榮路120巷8弄21號(對面)
建國育英路口,鶯歌區建國路/育英街口機車停車場內(鄰近許新旺陶瓷紀念博物館/鶯歌光點美學館)
安億停車場站,安億路(安億停車場旁)
孟春兒童遊樂場,慈德路210號對面
清水火車站,中正街/中正街73巷口
大雅區公所,雅環路二段299號旁
麗寶樂園,福容路8號前
中平國中,太平路300號旁
中清文心路口,文心路三段999號對面人行道
圓環西中山路口,圓環西路/中山路口
大智路停車場,大智路二段388號旁
復興三民路口,復興路308號旁停車場
普忠榮民南路口,普忠路1168號前人行道
大埔國小,振興路1169號前人行道
八德區衛生所,介壽路二段361巷28號前廣場
山頂里集會所,明興街36號旁人行道及路側
好市多南崁店,南崁路一段369號 前方人行道
蘆竹親子公園,六福路163號對面廣場
捷運坑口站(A11),捷運坑口站(A11)出入口前
大竹游泳池,大新一街115號旁空地
台北榮民總醫院桃園分院,成功路三段三聖路口旁人行道
桃園市立圖書館龍潭分館,中正路210號對面路側
海湖農會,海湖東路77號旁空地
功學社新村,功學路156號前方空地
龍慈龍和三街口,龍慈路與龍和三街旁路側
八德楓樹腳公園,介壽路二段931號對面公園
經國轉運站,水汴頭段14地號園道內
國信公園,國信街1號對面公園
四維兒童公園,四維二路95號對面公園
龍安里集會所,龍江路99號前方廣場
新福二路大仁街口,新福二路/大仁街路口旁人行道
龍興國中,龍勇路100號前方人行道
萬坪公園,龍昌路龍川九街路口旁人行道
龜山中正公園,自強北路19號對面人行道
大忠停車場,大忠街140號對面人行道
茄明公園,明光街56號對面公園人行道
八德藝文廣場,瑞發街興豐路825巷口旁空地
十大觀光小城公園,介壽路965號對面公園
桃園市客家文化館,中正路三林段500號前方路側
文昌國中,民生路729號前方人行道
同安國小,同德十一街33號對面人行道
北門國小,大連一街103號對面人行道
臻愛家社區,建國東路31號旁人行道
桃園區南平運動中心,南平路23號對面人行道
綠九公園,六福路/六福路247巷路口旁公園
清華高中,中華路658號前方人行道
仁化文新路口,仁化街/文新路口(西北側人行道)
四川忠孝路口,四川路一段244號(對面)
中正民權路口,中正路489號(旁)
中正路284巷,中正路284巷2號(對面)
善化高中站,仁愛路與大成路(南側人行道)
善化火車站,車站前圓環旁(北側T-Bike專區)
新市火車站,車站前(東北側人行道)
台江文化中心站,安吉路一段與安中路二段(南側人行道)
黃金海岸站,黃金海岸遊客中心(南側廣場)
日新國小站,金華路一段與鹽埕路口(西側人行道)
陽明交通大學(臺南校區)站,高發三路(北向人行道)
中原東街(左岸牡丹園),中原東街/中原二街(東北側人行道)
鶯歌國民運動中心,館前路250號(前)
神圳國中,神清路/神清路54巷口
崇光國小,益民路二段/益民路二段371巷口
春安國小,春安路/春安二街口
青潭河濱公園,新烏路一段11弄11號(對面)
寶橋路235巷口,寶橋路235巷2號(旁)
東海高中,忠孝路三段93巷6號(對面)
大崁國小,忠八街2號(前)
信義公園市民活動中心,信義路150巷43號(前)
輕軌新市一路站,新市一路三段151號(旁人行道)
平鎮國民運動中心,興安路20號對面空地
中路兒2公園,永安路765巷8號對面公園
觀音國小,文化路61號對面人行道
中山路裕和街口,中山路1306號旁人行道
平鎮市廿公園,德育路二段104號對向人行道上
龍岡停車場,龍東路202號機車停車場
桃智路廣豐三街口,桃智路31號前外側人行道及路側
水汴頭音樂廣場,鹽庫西街70號對面空地
富岡運動公園,新富七街180號斜對面
觀音中興停車場,中興路與玉林路口
八德興豐公園,興豐路豐田路路口旁公園
榮興橋,南新段 948地號人行道
百年大鎮社區,中豐路279號前方人行道
中科標準廠房,科雅路/科雅五路口
中科管理局,中科路2號
樹林藝文綜合行政大樓,保順街139號(對面)
竹林山觀音寺,竹林路/竹林路421巷口
林口郵局,文化二路一段8號(前)
復興民生街口,復興路45號(前)
興南路二段34巷口,興南路二段34巷1號(對面)
全球傳動科技公司,三多路123號(前)
安康立體停車場,安德街2號(前)
淡江大學(水源街),水源街二段104號(對面)
中印青潭廠,北宜路二段399號(旁)
中山1號科技總部,中山路1號(前)
土城仁愛社區公園,仁愛路17巷2號(對面)
捷運新埔站(1號出口),民生路三段11號(前)
南雅公園,南雅南路二段1-1號(旁)
板橋真武廟,光復街202巷6-1號(前)
重慶國小,廣和街35號(對面)
民生中山路口,民生路二段8-1號(前)
環河西路三段(日安社區),環河西路三段66號(旁)
光明街,光明街185號(對面)
新市二路二段,新市二路二段98號(前)
御史路1巷,御史路1巷5號(旁)
中山新興街口,中山路三段/新興街口(西北側人行道)
平鎮平興國中,育達路二段102號對面人行道
南門公園,文化街64號對面公園
光榮光峰路口,光峰路299號旁公園
桃園市立圖書館東勢分館,金陵路五段55號前方空地
光明國中,洛陽街139號之1對面人行道
春日路民富九街口,春日路618號前方人行道
新明國中,民族路109號對面人行道
新南路一段榮興路口,新南路一段榮興路口旁人行道
中平國中,中平路385號(旁)
莒光國小,雙十路2段47巷8弄6號(對面)
汐止火車站停車場,信義路1號(汐科路側人行道)
三坑自然生態公園,永福段1148地號
中科院石園二村,八德路1號旁停車場
中科院石園一村,佳安段712地號
中科院石園三村,武漢路100號對面停車格
中科院五號門,石園路615號前方空地
中科院一號門,中科段 1124地號空地
大溪永昌宮,仁和路二段190巷27號前方廣場
南美國小,南上路南美街口東北側人行道
新街國小,環北路564號旁步道
介壽公園,介壽段16地號公園
中壢公15公園,領航南路一段218號對面公園
觀音區棒壘球場,福興街147之1號對面停車場
頭重溪公園,三元街99號對面公園綠地
八德埤塘自然生態公園,榮興段1483地號公園人行道
過嶺廣場,松勤路13號對面公園
中華路一段文化二路口,中華路一段480號前方人行道
環中東實踐路口,環中東路776號前人行道
莒光公園 (環中東路),環中東路二段288號前人行道
中鑄公園,中華路一段619巷31號對面公園
瑞塘公有停車場,萬大路187號對面停車場
巨大集團總部,東大路一段/中科路口
太原火車站,東光路/太原路三段口
大慶火車站,建國南路一段/大慶街二段口
國立師範大學林口校區(測試站),仁愛路1段2號(校門前自行車停車區)
漳和國中,廣福路30號(對面)
寶橋路78巷口,寶橋路78巷10號(旁高速公路橋下空間)
金山八德街,八德街24號(對面)
金美國小,仁愛路37-5號(對面)
後竹圍市民活動中心,後竹圍街175巷18號(對面)
芳洲八路,芳洲八路152號(對面)
國中二甲路口,國中街175號(前)
捷運新埔站(5號出口),文化路二段1號(旁)
民權社區活動中心,民權路60號(活動中心後方廣場)
慈愛公園,仁愛街584號旁公園人行道
三抱竹,大觀路二段162號(對面橋下機車格)
捷運板新站,板新路117巷7號(後方廣場)
中信國小,榮華路二段/中富街口(西北側人行道)
義山新市一路口,新市一路一段371號(義山路側)
新市二路四段,新市二路四段58號(前)
康福公園,福德一路86巷23號(旁)
滬尾藝文休閒園區,中正路1段/中正路1段6巷口
新林國小,三民街101號(忠孝三路側人行道)
康寧街307巷,明峰街281號(對面)
仁愛街112巷,仁愛街112巷7號(對面)
美麗新淡海影城,新市五路三段/義山路二段(西北側人行道)
仁愛街70巷口,仁愛街95號(對面)
五峰國中,行政街20號旁
昭揚建築(水秀公園),力行路688巷11號旁公園
交通大學-新安路,新安路/園區三路口(東南側)
研發二路停車場,研發二路/創新三路口(東側)
興業二路停車場,興業二路/研新三路口(西側)
聯園,力行三路/力行二路口(北側)
同業公會,展業一路/新安路(北側)
文青一文青二路口,文青路文青一路口東北側人行道
埤墘公園,萬板路108號(前公園路側)
捷運景安站,景平路486號(對面)
中角灣,海興路174-1號(旁)
捷運幸福站,思源路292號(幸福東路側廣場)
浮洲合宜住宅(合宜合安一路口),合宜路/合安一路(東南側機車停車場)
三重商工(後竹圍街),中正北路165巷53號(後竹圍街路側停車格)
長安橋(吉祥街12巷),吉祥街12巷2號(旁)
鳳福公園,鳳吉一街186號(對面)
陽光Park社區,安興路107號(社區停車場前人行道)
捷運橋和站,板南路468號(對面)
中興橋(環河南路254巷口),環河南路253號(對面中興橋下)
板橋中山公園,莊敬路134號(對面)
捷運秀朗橋站,景平路2號(前)
捷運中和站,中山路2段291號(前)
環河西大漢街口,環河西路四段/大漢街(西南側)
健華新城社區,文化路一段309-6號(前)
猴硐火車站,柴寮路36號(旁公園路側)
園區三路研新一路口,研新一路/園區三路口(西北側)
園二園三廣場,園區三路1號(對面人行道)
青埔公10公園,青溪段233地號上人行道
八德區公所,中山路40號對面人行道
同安親子公園,同安街358號對面公園
三元公園,員林路二段450號對面公園
環南金陵路口,環南路三段243號前方人行道
貿商社區,自強南路自強南路301巷口
陽明運動公園(建新街),建新街163號對面公園籃球場旁
桃園高中,成功路三段8號旁邊空地
龜山長樂公園,長庚路169號對面公園
中正莊敬路口,中正路1379號前方人行道
藝文一街大興西路口,藝文一街6號對面廣場
瑞泰公園,介壽路2段583巷16弄12號對面空地
大安果樹公園,建安街長安街口公園廣場
中正光明路口,中正路339號對側高架橋下
迴龍商場,萬壽路一段122號前人行道
六和兒童公園,六和路55號對面公園
昌隆廣場,昌隆二街人行道上
內惟火車站,內惟火車站對面公園人行道(翠華路上)
捷運生態園區站(1號出口),"博愛三路上，孟子路南側50公尺

"
新北大道昌平街口(臨時站),新北大道三段67號斜前方人行道
安居公教住宅,安忠路52號(前)
德泰公園,成泰路一段79號(旁)
