name,description
彰師附工,工校街/竹和路口
成功社區活動中心,民生南路/旭光西路口(西南側)
彰興國中,埔西街97巷/埔西街(東北側)
民族路219巷路口,民族路/民族路219巷口
泰和國小,建國東路/泰豐街口(南側)
漢銘醫院,中山路一段/雲長路(東北側)
精誠中學,精誠路/林森路口(東北側)
縣府第二辦公大樓,建寶街20號旁(彰基福懋大樓)
華興公園,金馬路二段/彰新路一段115巷口(西南側)
長安中華路口(彰基中華分院),長安街174號對面(彰基中華院區)
陽明國中,長順街/三民路口(西南側)
屏東大學屏商站,民生東路51號(面對學校大門左邊人行道)
演藝廳站,民生路與瑞民路交叉口(臨民生路)
屏東大學林森站,林森路與民教路交叉路口(臨民教路)
忠孝國小站,建豐路204號人行道上(面對忠孝國小大門右邊)
屏東總圖站,自由路與大連路交叉口(千禧公園內椰林大道上)
社會福利館站,華正路184號對面和平公園人行道上
屏東女中站,屏東女中對面中山公園(仁愛路)內機車停車場上
美術館站,中正路與公園路交叉路口(臨公園路人行道上)
將軍之屋站,中山路與青島街交叉路口(臨青島街多寶屋前廣場)
縣政府站,自由路527號(面對屏東縣政府大門左邊人行道上)
崇蘭環保公園站,博愛路與崇德路交叉口(臨博愛路人行道上)
藝術館站,和平路427號(面對中正藝術館大門左邊人行道上)
屏東觀光夜市站,民族路與仁愛路交叉路口(臨仁愛路人行道上)
玉皇宮站,自立路160號前停車場
屏東市公所站,台糖街3號(台糖量販店對面人行道上)
復興公園站,自立南路(萬年溪側)
勞工育樂中心站,自由路17號(面對勞工處大門右邊人行道上)
崇大新城站,華盛街與永大路交叉路口公園(臨永大路)
三張公園,大智街127號至大智路137號(對面三張公園)
三重商工,中正北路/中正北路276巷
三重國民運動中心,集美街/重新路四段184巷
中原公園,長興路22號前通道
中和公園,安樂路/得和路(西南側)
中華中原路口,中原路/中華路二段
丹鳳派出所,雙鳳路77巷丹鳳派出所前
仁愛公園,仁愛路/保生路(鄰近世界宗教博物館)
仁愛廣場,民權路139號旁
仁愛延吉街口,仁愛路四段/延吉街(東南側)(鄰近大安親子館)
仁愛林森路口,林森南路/仁愛路一段路口(東北側)(鄰近臺北市青少年發展處/中正親子館)
保安永平路口,保安路248號至250號對面
保長公園,保長路/保長路45巷
信義杭州路口(中華電信總公司),信義路一段/杭州南路一段(西北側)(鄰近國立中正紀念堂)
南港公園,福德街383號對面(南港公園出口前)
南港車站(忠孝東路),忠孝東路七段與忠孝東路七段415巷交叉口(鄰近南港高鐵站)
台北慈濟醫院,建國路289號旁空地
國泰綜合醫院,建成路78號對面停車場
國立政治大學,萬壽路16巷6號前(鄰近國立政治大學)
圓環站,南京西路/重慶北路一段(西南側)(鄰近寧夏夜市)
大豐公園,磺港路/大興街(東北側)
天母運動公園,忠誠路二段/忠誠路二段207巷(東南側)
市民林森路口,市民大道二段/林森北路(東北側)(鄰近台北國際藝術村/台北希望廣場)
師範大學公館校區,師大公館校區校門口(汀州路側)
延平國宅,延平北路五段一巷40號前
後港公園,建安街/建安街57巷
振華公園,振華街36號對面
捷運三民高中站(1號出口),三民路105號(鄰近湧蓮寺/紫禁城博物館)
捷運三重站(3號出口),捷運路/捷運路37巷
捷運劍南路站(2號出口),敬業二路/植福路(東北側)(鄰近美麗華百樂園/劍潭古寺)
捷運劍潭站(2號出口),基河路18號對面(鄰近劍潭公園)
捷運唭哩岸站(2號出口),西安街二段/立農街一段257巷(鄰近慈生宮)
捷運大湖公園站(2號出口),成功路五段/大湖山莊街(大湖公園地下停車場旁)(鄰近大湖公園)
捷運大直站(3號出口),北安路458巷41弄/北安路536巷(捷運大直站3號出口前人行道)
捷運文德站(2號出口),文德路220巷/文德路(西南側)
捷運新北投站,大業路/中和街交叉口(鄰近凱達格蘭文化館/北投復興公園)
捷運永安市場站,中安街/中和路378巷(東南側)
捷運永春站(2號出口),忠孝東路五段420號旁(東側巷道上)
捷運港墘站(2號出口),內湖路一段/港墘路(東南側)
捷運頂溪站(1號出口),中興街1號對面
文化白雲公園,水源路二段42號訖水源路二段68號
文湖國小,文湖街21巷/文湖街(東北側)
新北市立圖書館三重分館,自強路一段162號至自強路一段二弄4號(對面停車場)
新北高中,三信路1號旁
新湖國小,民權東路六段/成功路二段320巷31弄(東南側)(鄰近防災科學教育館)
明志國中,中正北路107號
東方科學園區,新台五路一段90-116號
東湖國中,康樂街/康樂街125巷(東南側)
松德公園,松德路168巷20號前
植物園,和平西路二段100號前(鄰近台北植物園/國立歷史博物館/131 Fun心玩親子館)
樟樹國小,樟樹二路/樟樹一路141巷
永和國小,中正路390號至426號對面
汐止公園,大同路二段451號
汐止區公所,新台五路一段/仁愛路口(新台五路側汐止地政事務所前機車停車場)
汐止區綜合運動場,汐科路/秀峰路
汐止火車站,南昌街/新昌路口(西側廣場)
汐科火車站(北),大同路二段184巷/龍安路202巷(西側)(汐科火車站北站出口前)
河堤國小,金門街12巷23弄1號旁
白雲國小,民權街二段90號
百齡國小,前港街100巷/前港街(北方)
社子國小,延平北路六段/社中街(社子國小對面跨提便道橋下)
福和國中,永貞路/永亨路(東南側)
福壽公園,福壽街130號至140號(對面福壽公園)
福林公園,志成街/中正路(南側)(鄰近志成公園/福林公園)
福營行政中心,四維路17號-20號
福華商場,民權東路六段/民權東路六段180巷(石潭平面停車場內)(鄰近防災科學教育館)
秀山國小,更生街/自立路(西南側)
秀朗國小,民生路15號至23號對面
羅斯福新生南路口,羅斯福路四段/新生南路三段交叉口(鄰近公館夜市)
臺北市立天文館,基河路363號前(鄰近台北市立天文科學教育館/國立台灣科學教育館)
興華公園,重陽路一段120巷/中華路2巷
舊莊區民活動中心,舊莊街一段91巷/舊莊街一段91巷12弄(舊莊區民活動中心前)(鄰近胡適公園)
西盛公園,新莊區西盛街/西盛街201巷
重陽國小,中正北路/三民街175巷
金瑞公園(金龍路),金龍路213巷1弄7號前
金龍公園,湖前街31巷2弄/湖前街31巷
金龍國小,中興路/民族六街
開元市民活動中心,開元街58號/長元街65巷16弄對面
雍和科學園區,南陽街185號
青山國民中小學,莊敬街33號
頂溪國小,文化路133號(西側)(鄰近永和親子圖書閱覽室)
士林運動中心,承德路四段/大南路(東北側)
第一立體停車場,民族路菜園路口(民族路252號對面)
桂花巷藝術村,公園一路與成功路交叉口
鹿港民俗文物館,景興街停車場(館前街80號左側人行道)
鹿港圖書藝文中心,文化路新興街口(文化路藝文中心前機車停車場內)
福星公園,寶慶街50巷/河南路二段301巷
臺中市民廣場,中興街/公益路口
大墩文化中心,五權路/英才路口
臺中州廳,市府路/民權路口
頂何厝,臺灣大道二段/東興路三段路口
新北市政府(新府路),新府路1號對面人行道(鄰近板橋高鐵站/新北市市民廣場)
捷運板橋站(1號出口),縣民大道二段3號(秀泰影城門口)(鄰近板橋高鐵站)
臺中一中,育才街/尊賢街口
文心森林公園,文心路一段/向上路二段口
板橋國民運動中心,英士路/智樂路
新北市立圖書館總館,貴興路119巷(鄰近新北市立圖書館總館)
文山行政中心,木柵路三段220號前
北投運動中心,石牌路一段39巷100號前
和平重慶路口,重慶南路三段/和平西路一段(東北側)
蘭雅公園,忠誠路二段/忠誠路二段40巷(西南側)
捷運小巨蛋站(5號出口),南京東路四段/健康路(東北側)(鄰近台北田徑場)
捷運南京三民站(1號出口),南京東路五段/三民路(西北側)
捷運象山站,信義路五段/信義路五段91巷(西北側)
捷運芝山站(2號出口),福華路/福華路162巷(東南側)
捷運大安站,復興南路/信義路三段(西南側)
臺北市立大學,愛國西路/公園路(西北側)(鄰近台北市立教育大學)
捷運小南門站(1號出口),博愛路/愛國西路交叉口(西北側)
萬壽棒球場,向上路一段/大進街口
公益大英街口,公益路二段/大英街口(星巴克前)
公益公園,忠明南路/公益路口
青海逢甲路口,青海路二段/逢甲路口
捷運頂埔站(2號出口),新北市土城區中央路四段53號(前)
上石公園,西屯路二段/上石北五巷口
新光/遠百,臺灣大道三段/惠來路二段
櫻花棒球場,櫻花路/洛陽路口
重慶公園,西屯路二段/天水西六街
忠誠公園,忠明路/華美西街一段口
科博館/金典酒店,臺灣大道一段/健行路口
忠明國小,臺灣大道二段/忠明南路口
國立自然科學博物館,博館路101號對面
博館育德路口,博館路/育德路口
英才公園,英才路/民權路口
學士育德路口,學士路/育德路口(中正停車場廣場)
英士公園,日興街/英士路口
中正國小,英才路/臺灣大道二段179巷
茄苳腳,臺灣大道一段/梅川東路二段
大墩七街河南路口,大墩七街/河南路四段口
大隆東興路口,大隆路40號前
五權西文心路口,五權西路二段/文心路一段路口
臺中公園,公園路/自由路二段口
臺中孔廟,雙十路二段/力行路口
臺中教育大學,五權路/民權路口
太原北中清路口,太原北路/中清路一段口
中山地政事務所,三民路一段/三民路一段156巷口
經國園道,向上路一段/英才路口
國立臺灣美術館,五權西路一段/美村路一段口
北區行政大樓,永興街/太原路二段口
三光太原路口,三光巷/太原路三段口
北屯兒童公園,興安路一段/北平路四段口
力行國小,力行路/進化路口
賴明公園,梅川東路三段/漢口路四段口
文華高中,文心路三段/河南路一段口
崇倫公園,南屯路一段/美村路二段口
臺中火車站(建國路),建國路/中山路口
黎明國中,黎明路二段/市政南二路口
中德公園,忠明六街/忠太西路口
豐樂雕塑公園,文心南五路/向心南路口
惠文高中,大業路/惠中路二段口
民俗公園,熱河路二段/大連路二段口
市政公園停車場,市政北五路/惠中路一段口
向心兒童公園,文心南二路/向心南路口
柴埕市民活動中心,安民街/安民街65巷
捷運丹鳳站(1號出口),中正路/民安路
建福公園,建福路/建福路49巷
新泰公園,建中街116巷/建中街116巷3弄
忠孝國光路口,忠孝路/國光路口
國立中興大學,興大路/仁德街口
福安國中,延平北路七段250號前人行道(福安國中)
捷運新店站,中興路一段34號前(高架橋下停車場)
基河一期國宅,南京東路六段131號至137號對面綠地
臺北市立大學(天母校區),士東路276號至280號對面人行道
臺中國小,信義街/臺中路口
中壢火車站(前站),中和路109號空地
銀河廣場,九和一街48號對面銀河廣場人行道
中正公園(中美路),中美路101-113號對面人行道
中壢區公所,環北路380號旁人行道
光明公園,民權路322號對面停車場
中壢高中,中央西路二段215號對面人行道
中央大學圖書館,中大路300號(中央大學校內圖書館前)
中原大學,中北路200號(中原大學校內懷恩樓後方空地)
中壢國小,康樂路61號旁公園
翠堤橋,義民路105號旁人行道
員林市公所,三民街18號
連興龍安路口,連興路/龍安路28巷
東陽公園,重陽路125巷26號至36-2號對面人行道
三峽區公所(三峽老街),中山路17號(公所旁徒步區)(鄰近三峽清水祖師廟/三峽歷史文物館/三峽老街)
三民中山一路口,三民路8號前(鄰近紫禁城博物館)
三重綜合體育館,新北大道一段1號前人行道
三重行政中心,新北大道一段15巷至新北大道一段5巷2弄(區公所人行道)
上林里(環河東路一段),環河東路一段/竹林路75巷25弄
中和國民運動中心,和城路一段/中正二橋
中和地政事務所,復興路280號
中和環球購物中心,中山路三段130號
中和自強公園,莒光路181號對側公園人行道旁
中山北新春街口,中山北路一段/新春街(東南側)(公園籃球場前人行道)
中正橋,環河東路一段/光復街(鄰近楊三郎美術館)
中港國小,中和街70號對面
中華自治街口,中華路2段/自治街口人行道(中港大排東側)
中華里(中華路二段),中華路2段31號對面
二重國中,忠孝路三段75巷1號至忠孝路三段75巷11號(對面人行道)
二重國小,頂崁街164號至188號(對面二重國小)
五堵火車站,鄉長路一段人行道側
五福里(五華街),五華街64號對面人行道(碧華國中旁)
仁愛文化二路口,仁愛路二段559號前方人行道
保順環河西路口,保順環河西路口
信義公園,信義西街18號對面人行道(鄰近三和夜市)
修德國小,民生街74號對面人行道
先嗇宮,五谷王北街77號(後方停車場旁人行道)(鄰近三重先嗇宮)
光興國小,光興街/文化南路口(西南側)(光興街路側)(鄰近新北市眷村文化園區（空軍三重一村）)
光華公園,保安街2段259號對面(鄰近樹林興仁花園夜市)
光華東帝士,民安西路370號至376號前
六合公園,自強路二段74巷27號對面
六張公園,安慶街149巷21號 (對面六張公園人行道)
北港國小,汐萬路二段279號
厚德公園,忠孝路一段37號
原興廣場,原興路/中興路150巷
台灣科學園區,大同路一段237號前空地
同安公園,正義南路/同安東街(正義南路側公園廣場)(鄰近新北市眷村文化園區（空軍三重一村）)
同興公園,仁義路15號對面
員林社區公園,員林街12巷對面
四川遠東路口,遠東路5號前人行道(四川路側)
四維公園,四維路181號對面(四維活動中心出口前)
國光公園,中正路325巷/中正路341巷
國光里(國光路),國光路76號旁
國立臺北大學(三峽校區),學勤路大學路口(面校門右側人行道)(鄰近國立台北大學)
土城綜合體育場,裕民路195巷旁
大安中央路口,大安路/中央路三段
安和市民活動中心,安興路67號對面空地 (高架橋下)
安成安德街口,安成街26號至36號對面
尖山公園,鶯歌區尖山路161號對面
崑崙公園,大觀路三段212巷70號對面
崑崙活力廣場,大觀路三段133巷3號對面廣場
廣福公園,廣權路/廣和街
德音國小,明德路2號(德音國小成泰路路側人行道)(鄰近維格餅家鳳梨酥夢工場)
思賢國小,福樂街66號對面
恩主公醫院,復興路372號(對面公車亭後方人行道)
捷運三和國中站(1號出口),三和路四段95號至97號對面(捷運三和國中站1號出口)
捷運三重國小站,仁愛街/三和路3段11巷
捷運先嗇宮站(2號出口),重新路五段515號
捷運南勢角站(4號出口),捷運路3號(對面)(鄰近興南夜市)
捷運土城站(2號出口),金城路1段/和平路
捷運徐匯中學站(1號出口),中山一路3號(捷運徐匯中學站1號出口旁)
捷運新埔站(4號出口),民生路二段250號前人行道
捷運永寧站(2號出口),承天路11號對面
捷運海山站(3號出口),海山路46號對面機車格位
捷運竹圍站,民權路105號-115號前人行道
捷運菜寮站(3號出口),重新路三段67號旁
捷運蘆洲站,三民路/中正路口
捷運迴龍站(3號出口),中正路/中正路746巷
捷運頭前庄站(1號出口),中正路/思源路(東北側)(捷運頭前庄站1號出口旁廣場)
文化機車立體停車場,文化路57號(立體停車場地下一樓)(鄰近福佑宮/淡水老街/淡水渡船碼頭/淡水白樓紅樓、偕醫館/登峰魚丸博物館/淡水禮拜堂)
新五泰國民運動中心,全興路214號對面
新北市立圖書館五股成功分館,西雲路165號圖書館旁空地(鄰近西雲禪寺)
新北市立圖書館鶯歌分館,中山路150號(圖書館內停車場)
新北市藝文中心,莊敬路/文化路2段182巷(鄰近新北市藝文中心)
新市國小,中山北路二段189巷2號對面人行道(新市國小)
新月橋,瓊林路1號旁(碧江公園旁)(鄰近新月橋/新莊廟街)
新樹公園,新樹路627號對面
新海長江路口,長江路一段/新海路
新麗園社區,麗園一街/麗園一街11巷(對面人行道)
明志國小,明志路二段324號對面人行道(鄰近明志書院)
景安板南路口,景安路與板南路口(西南側三角公園)
東勢宜興活動中心,東勢街/芳園街
板林溪北路口,板林路/溪北路
板橋仁愛公園,國慶路49巷23號對面
板橋信義公園,四川路二段6號對面(鄰近玉美人孕婦裝觀光工廠)
板橋四維公園,陽明街251號至259號對面人行道
板橋國中,中正路441號前人行道(鄰近435藝文特區)
板橋福德公園,新站路1號對面(鄰近新北市市民廣場)
板橋第一運動場,板橋區海山路23號對面
林口區公所,仁愛路一段378號(林口區公所旁機車停車格)
林口自強公園,自強三街3號旁人行道
柳堤公園,長樂路125號對面公園通道
楓樹腳公園,楓江路26巷26號前人行道(鄰近泰山親子圖書閱覽室)
橋東里(忠孝東路),忠孝東路484號至488號前
正德國中,北新路116號對面人行道(正德國中)
正義公園,文化北路101號至119號對面
民享藝文特區,民治街120號對面人行道
民生公園,民生路一段/民生路一段30巷
民生長江路口,民生路三段/長江路一段(64高架橋下方)
水河里活動中心,民族路408巷/復興路323巷
永安圖書館,永安南路二段150號(對側人行道)
永平公園,永樂街38巷42弄公園人行道(永平市場南側)
永平高中,永平路/永平路203巷口(靠學校圍牆路側)(鄰近樂華夜市/世界宗教博物館)
永康公園,長安街297號(對面)
永盛公園,車路頭街139巷135號(對面人行道)
永福國小,永福街/下竹圍街
永福橋,豫溪街217巷27號對面人行道
永豐公園活動中心,永豐街221號
泰山國小,泰林路2段257號旁人行道
浮洲合宜住宅(合安一路),合安一路/大觀路二段153巷
溪北公園,篤行路二段131巷35號(對面人行道)
溪墘公園,信義路73巷2號對面公園人行道
溪洲公園停車場,溪崑二街145號
潤泰社區,三民路二段35巷口
碧華公園,溪尾街303號(對面公園)
福祥里(中和溝),福祥路90巷7弄1號對側空間
秀得里(成功路二段),成功路二段28號至34號
秀朗成功路口,秀朗路三段 / 成功路二段
立泰里(中環路二段),新莊區中環路二段423號(對面橋下)(鄰近新莊文化藝術中心)
竹圍公園,淡水區民生路108號旁公園通道(竹圍公園)
竿蓁市民活動中心,中正東路一段3巷2號對面路側(亞太飯店旁)(鄰近淡水百齡公園)
縣民民族路口,縣民大道一段/民族路(鄰近府中商圈(板橋後站商圈))
義仁市民活動中心,明志路二段177號
義學國小,民生路33號對面人行道
聯邦公園,三民街/中華路
育德國小,育德街13號對面人行道
自強溪尾街口,自強路4段/溪尾街
自然公園,如意街/集賢路口
臺北醫院,思源路131號至137號前人行道
興化公園,五工二路/五工三路50巷
莊敬公園,萬板路/民生路二段(鄰近板橋萬板親子圖書閱覽室)
華夏科技大學,工專路111號
華德公園,四川路二段245巷60號對面
華福市民活動中心,民德路296號對面停車格位
蘆洲三民公園,三民路615號對面人行道(鄰近大台北都會公園)
蘆洲國民運動中心,長興路237巷/長興路
行政院新莊聯合辦公大樓,中平路/榮華路2段
西盛館,新樹路499號前人行道(西盛館)
豐年國小,瓊泰路161號對面人行道
進安公園,仁義街258號至290號
重新重安街口,重新路三段/重安街
重陽公園,集賢路221巷重陽活動中心(鄰近蘆洲兒童親子分館)
延和社區公園,延和路180號(旁)
金城忠義路口,金城路一段/忠義路
金城立體停車場,金城路2段266號
錦和高中,錦和路/和城路口(東南角)
長壽親子公園,樹德街35號對面(公園內縮空間)
集成成功路口,集成路2號至8號前人行道
頭前國中,中原路3至9號對面人行道
頭前運動公園,頭成街165號對面人行道
鴨母港抽水站,永安南路二段334號(對面人行道)
鶯歌國中,建國路420號對面人行道(鄰近新太源藝術工坊)
鶯歌陶瓷老街,鶯歌區尖山埔路/國慶街(停車場內)(鄰近鶯歌陶瓷老街(鶯歌老街)/鶯歌光點美學館)
鷺江廣場,信義路319巷22號(旁邊機車格前)
麗林公有市場,公園路59號(頂好超市側門)
黃城公園,中信街74號旁
龍門公園,公園街/仁福街 (龍門公園人行道上)
龍門龍濱路口,龍濱路192號對面
中山天母路口,天母西路3-55號前人行道
臥龍樂業街口,臥龍街267號對面人行道(臥龍樂業街口)
國立公共資訊圖書館,五權南路100號前
忠明南美村南路口,忠明南路/美村南路口
大甲鎮瀾宮,鎮瀾街/中華街口
建成樂業路口,建成路/樂業路口
北區太平國小,太平路/大誠街口
新平國小,育德路162巷/樹孝路274巷9弄口
積善公園,大明路/興大路口
永興公園,工學路/工學一街口
忠明南復興路口,忠明南路/復興路二段口
柳川東中華路口,柳川東路四段/中華路二段口
健行國小,健行路/健行路664巷口
大智國小,建德街/大智路口
興進園道,興進路/興進路76巷口
祥順運動公園,宜昌路87巷/宜昌路口
北屯區文昌國小,興安路一段/青島路四段口
臺中高工,高工路/工學二街口
山西公園,山西路二段/北平路二段口
東峰公園,仁和路/立德東街口
太原華美街口,太原路一段/華美街二段口
三多國小,三福街83-89號(對面人行道)
三甲公園,旱溪東路三段/景賢南一路口
豐原高商,圓環南路/中山路口
新福公園,旱溪東路二段/中山路四段口
中正公園(元化路),元化路197巷對面中正公園旁人行道
中壢區聯合辦公大樓,溪洲街298號前方人行道
莒光公園,寧夏二街43號對面莒光公園入口圓環
中壢火車站(後站),新興路68-94號對面人行道
